game_id,team,opp,player_id,quarter,time,down,togo,location,score,detail,yards,touchdown
200809070sfo,crd,sfo,WarnKu00,2,10:43,3,7,41,3-7,Kurt Warner pass complete deep right to Steve Breaston for 40 yards (tackle by Dashon Goldson),40,False
200809070sfo,crd,sfo,BreaSt00,2,10:43,3,7,41,3-7,Kurt Warner pass complete deep right to Steve Breaston for 40 yards (tackle by Dashon Goldson),40,False
200809070sfo,crd,sfo,GoldDa99,2,10:43,3,7,41,3-7,Kurt Warner pass complete deep right to Steve Breaston for 40 yards (tackle by Dashon Goldson),40,False
200809070sfo,crd,sfo,rackenei01,1,8:48,4,16,17,3-0,Neil Rackers 35 yard field goal no good,35,False
200809070sfo,crd,sfo,rackenei01,3,8:29,4,13,13,13-10,Neil Rackers 31 yard field goal good,31,False
200809070sfo,crd,sfo,rackenei01,4,2:00,4,8,12,23-13,Neil Rackers 30 yard field goal good,30,False
200809070sfo,crd,sfo,rackenei01,1,11:10,4,7,7,3-0,Neil Rackers 25 yard field goal good,25,False
200809070sfo,crd,sfo,WarnKu00,1,13:41,1,10,40,0-0,Kurt Warner pass complete short left to Larry Fitzgerald for 21 yards (tackle by Walt Harris),21,False
200809070sfo,crd,sfo,FitzLa00,1,13:41,1,10,40,0-0,Kurt Warner pass complete short left to Larry Fitzgerald for 21 yards (tackle by Walt Harris),21,False
200809070sfo,crd,sfo,HarrWa21,1,13:41,1,10,40,0-0,Kurt Warner pass complete short left to Larry Fitzgerald for 21 yards (tackle by Walt Harris),21,False
200809070sfo,crd,sfo,nednejoe01,3,,,,30,10-10,"Joe Nedney kicks off 67 yards, returned by Steve Breaston for 19 yards (tackle by Zak Keasey)",19,False
200809070sfo,crd,sfo,BreaSt00,3,,,,30,10-10,"Joe Nedney kicks off 67 yards, returned by Steve Breaston for 19 yards (tackle by Zak Keasey)",19,False
200809070sfo,crd,sfo,KeasZa20,3,,,,30,10-10,"Joe Nedney kicks off 67 yards, returned by Steve Breaston for 19 yards (tackle by Zak Keasey)",19,False
200809070sfo,crd,sfo,nednejoe01,4,,,,30,20-13,"Joe Nedney kicks off 63 yards, returned by Steve Breaston for 19 yards (tackle by Allen Rossum)",19,False
200809070sfo,crd,sfo,BreaSt00,4,,,,30,20-13,"Joe Nedney kicks off 63 yards, returned by Steve Breaston for 19 yards (tackle by Allen Rossum)",19,False
200809070sfo,crd,sfo,RossAl99,4,,,,30,20-13,"Joe Nedney kicks off 63 yards, returned by Steve Breaston for 19 yards (tackle by Allen Rossum)",19,False
200809070sfo,crd,sfo,WarnKu00,3,11:22,2,1,26,10-10,Kurt Warner pass complete short middle to Anquan Boldin for 18 yards (tackle by Mark Roman),18,False
200809070sfo,crd,sfo,BoldAn00,3,11:22,2,1,26,10-10,Kurt Warner pass complete short middle to Anquan Boldin for 18 yards (tackle by Mark Roman),18,False
200809070sfo,crd,sfo,RomaMa20,3,11:22,2,1,26,10-10,Kurt Warner pass complete short middle to Anquan Boldin for 18 yards (tackle by Mark Roman),18,False
200809070sfo,crd,sfo,WarnKu00,4,10:42,2,10,86,20-13,Kurt Warner pass complete short middle to Anquan Boldin for 18 yards (tackle by Michael Lewis). Penalty on Donald Strickland: Illegal Contact (Declined),18,False
200809070sfo,crd,sfo,BoldAn00,4,10:42,2,10,86,20-13,Kurt Warner pass complete short middle to Anquan Boldin for 18 yards (tackle by Michael Lewis). Penalty on Donald Strickland: Illegal Contact (Declined),18,False
200809070sfo,crd,sfo,LewiMi99,4,10:42,2,10,86,20-13,Kurt Warner pass complete short middle to Anquan Boldin for 18 yards (tackle by Michael Lewis). Penalty on Donald Strickland: Illegal Contact (Declined),18,False
200809070sfo,crd,sfo,StriDo20,4,10:42,2,10,86,20-13,Kurt Warner pass complete short middle to Anquan Boldin for 18 yards (tackle by Michael Lewis). Penalty on Donald Strickland: Illegal Contact (Declined),18,False
200809070sfo,crd,sfo,WarnKu00,3,14:45,3,10,72,10-10,Kurt Warner pass complete short middle to Anquan Boldin for 15 yards (tackle by Dashon Goldson),15,False
200809070sfo,crd,sfo,BoldAn00,3,14:45,3,10,72,10-10,Kurt Warner pass complete short middle to Anquan Boldin for 15 yards (tackle by Dashon Goldson),15,False
200809070sfo,crd,sfo,GoldDa99,3,14:45,3,10,72,10-10,Kurt Warner pass complete short middle to Anquan Boldin for 15 yards (tackle by Dashon Goldson),15,False
200809070sfo,crd,sfo,WarnKu00,3,14:01,2,10,87,10-10,Kurt Warner pass complete short left to Anquan Boldin for 14 yards (tackle by Michael Lewis),14,False
200809070sfo,crd,sfo,BoldAn00,3,14:01,2,10,87,10-10,Kurt Warner pass complete short left to Anquan Boldin for 14 yards (tackle by Michael Lewis),14,False
200809070sfo,crd,sfo,LewiMi99,3,14:01,2,10,87,10-10,Kurt Warner pass complete short left to Anquan Boldin for 14 yards (tackle by Michael Lewis),14,False
200809070sfo,crd,sfo,WarnKu00,3,10:35,1,20,20,10-10,Kurt Warner pass complete short right to Tim Hightower for 12 yards (tackle by Patrick Willis),12,False
200809070sfo,crd,sfo,HighTi00,3,10:35,1,20,20,10-10,Kurt Warner pass complete short right to Tim Hightower for 12 yards (tackle by Patrick Willis),12,False
200809070sfo,crd,sfo,WillPa98,3,10:35,1,20,20,10-10,Kurt Warner pass complete short right to Tim Hightower for 12 yards (tackle by Patrick Willis),12,False
200809070sfo,crd,sfo,WarnKu00,3,12:29,3,7,46,10-10,Kurt Warner pass complete short middle to Steve Breaston for 11 yards (tackle by Shawntae Spencer),11,False
200809070sfo,crd,sfo,BreaSt00,3,12:29,3,7,46,10-10,Kurt Warner pass complete short middle to Steve Breaston for 11 yards (tackle by Shawntae Spencer),11,False
200809070sfo,crd,sfo,SpenSh20,3,12:29,3,7,46,10-10,Kurt Warner pass complete short middle to Steve Breaston for 11 yards (tackle by Shawntae Spencer),11,False
200809070sfo,crd,sfo,JameEd00,2,12:41,2,6,96,3-7,Edgerrin James left tackle for 10 yards (tackle by Ray McDonald),10,False
200809070sfo,crd,sfo,McDoRa99,2,12:41,2,6,96,3-7,Edgerrin James left tackle for 10 yards (tackle by Ray McDonald),10,False
200809070sfo,crd,sfo,JameEd00,1,13:00,1,10,19,0-0,Edgerrin James right end for 9 yards (tackle by Nate Clements and Michael Lewis),9,False
200809070sfo,crd,sfo,ClemNa99,1,13:00,1,10,19,0-0,Edgerrin James right end for 9 yards (tackle by Nate Clements and Michael Lewis),9,False
200809070sfo,crd,sfo,LewiMi99,1,13:00,1,10,19,0-0,Edgerrin James right end for 9 yards (tackle by Nate Clements and Michael Lewis),9,False
200809070sfo,crd,sfo,JameEd00,2,9:16,1,10,87,10-7,Edgerrin James right end for 9 yards (tackle by Jeff Ulbrich),9,False
200809070sfo,crd,sfo,UlbrJe20,2,9:16,1,10,87,10-7,Edgerrin James right end for 9 yards (tackle by Jeff Ulbrich),9,False
200809070sfo,crd,sfo,JameEd00,2,8:39,2,1,96,10-7,Edgerrin James right guard for 9 yards (tackle by Manny Lawson),9,False
200809070sfo,crd,sfo,LawsMa20,2,8:39,2,1,96,10-7,Edgerrin James right guard for 9 yards (tackle by Manny Lawson),9,False
200809070sfo,crd,sfo,WarnKu00,3,11:50,1,10,35,10-10,Kurt Warner pass complete short right to Larry Fitzgerald for 9 yards (tackle by Jeff Ulbrich),9,False
200809070sfo,crd,sfo,FitzLa00,3,11:50,1,10,35,10-10,Kurt Warner pass complete short right to Larry Fitzgerald for 9 yards (tackle by Jeff Ulbrich),9,False
200809070sfo,crd,sfo,UlbrJe20,3,11:50,1,10,35,10-10,Kurt Warner pass complete short right to Larry Fitzgerald for 9 yards (tackle by Jeff Ulbrich),9,False
200809070sfo,crd,sfo,WarnKu00,1,9:13,3,8,9,3-0,"Kurt Warner pass complete short left to Tim Hightower for 7 yards (tackle by Michael Lewis). Penalty on Mike Gandy: Unnecessary Roughness, 15 yards",7,False
200809070sfo,crd,sfo,HighTi00,1,9:13,3,8,9,3-0,"Kurt Warner pass complete short left to Tim Hightower for 7 yards (tackle by Michael Lewis). Penalty on Mike Gandy: Unnecessary Roughness, 15 yards",7,False
200809070sfo,crd,sfo,LewiMi99,1,9:13,3,8,9,3-0,"Kurt Warner pass complete short left to Tim Hightower for 7 yards (tackle by Michael Lewis). Penalty on Mike Gandy: Unnecessary Roughness, 15 yards",7,False
200809070sfo,crd,sfo,GandMi20,1,9:13,3,8,9,3-0,"Kurt Warner pass complete short left to Tim Hightower for 7 yards (tackle by Michael Lewis). Penalty on Mike Gandy: Unnecessary Roughness, 15 yards",7,False
200809070sfo,crd,sfo,JameEd00,4,10:15,1,10,46,20-13,Edgerrin James left guard for 7 yards (tackle by Manny Lawson),7,False
200809070sfo,crd,sfo,LawsMa20,4,10:15,1,10,46,20-13,Edgerrin James left guard for 7 yards (tackle by Manny Lawson),7,False
200809070sfo,crd,sfo,WarnKu00,3,8:21,1,10,33,13-10,Kurt Warner pass complete short left to Anquan Boldin for 6 yards (tackle by Donald Strickland),6,False
200809070sfo,crd,sfo,BoldAn00,3,8:21,1,10,33,13-10,Kurt Warner pass complete short left to Anquan Boldin for 6 yards (tackle by Donald Strickland),6,False
200809070sfo,crd,sfo,StriDo20,3,8:21,1,10,33,13-10,Kurt Warner pass complete short left to Anquan Boldin for 6 yards (tackle by Donald Strickland),6,False
200809070sfo,crd,sfo,WarnKu00,4,3:53,3,5,20,20-13,Kurt Warner pass complete short middle to Anquan Boldin for 6 yards (tackle by Dashon Goldson),6,False
200809070sfo,crd,sfo,BoldAn00,4,3:53,3,5,20,20-13,Kurt Warner pass complete short middle to Anquan Boldin for 6 yards (tackle by Dashon Goldson),6,False
200809070sfo,crd,sfo,GoldDa99,4,3:53,3,5,20,20-13,Kurt Warner pass complete short middle to Anquan Boldin for 6 yards (tackle by Dashon Goldson),6,False
200809070sfo,crd,sfo,JameEd00,1,5:16,2,6,66,3-7,Edgerrin James left tackle for 5 yards (tackle by Justin Smith and Mark Roman),5,False
200809070sfo,crd,sfo,SmitJu20,1,5:16,2,6,66,3-7,Edgerrin James left tackle for 5 yards (tackle by Justin Smith and Mark Roman),5,False
200809070sfo,crd,sfo,RomaMa20,1,5:16,2,6,66,3-7,Edgerrin James left tackle for 5 yards (tackle by Justin Smith and Mark Roman),5,False
200809070sfo,crd,sfo,JameEd00,3,7:38,2,4,27,13-10,Edgerrin James left tackle for 5 yards (tackle by Ray McDonald),5,False
200809070sfo,crd,sfo,McDoRa99,3,7:38,2,4,27,13-10,Edgerrin James left tackle for 5 yards (tackle by Ray McDonald),5,False
200809070sfo,crd,sfo,HighTi00,3,5:03,2,9,10,13-10,Tim Hightower up the middle for 5 yards (tackle by Aubrayo Franklin),5,False
200809070sfo,crd,sfo,FranAu20,3,5:03,2,9,10,13-10,Tim Hightower up the middle for 5 yards (tackle by Aubrayo Franklin),5,False
200809070sfo,crd,sfo,WarnKu00,4,11:58,1,10,76,20-13,Kurt Warner pass complete short middle to Leonard Pope for 5 yards (tackle by Michael Lewis),5,False
200809070sfo,crd,sfo,PopeLe00,4,11:58,1,10,76,20-13,Kurt Warner pass complete short middle to Leonard Pope for 5 yards (tackle by Michael Lewis),5,False
200809070sfo,crd,sfo,LewiMi99,4,11:58,1,10,76,20-13,Kurt Warner pass complete short middle to Leonard Pope for 5 yards (tackle by Michael Lewis),5,False
200809070sfo,crd,sfo,JameEd00,4,11:19,2,5,81,20-13,Edgerrin James left end for 5 yards (tackle by Manny Lawson),5,False
