player_id,player,fant_pts,position,height,weight,rookie,team,opp,home,opp_def_align,after_bye,oline_rush,oline_pass,opp_dline_rush,opp_dline_pass,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,off_pass_rank,off_rush_rank,opp_def_pass_rank,opp_def_rush_rank,rush_att,rush_yards,rush_tds,completions,attempts,accuracy,interceptions,fumbles,pass_yards,pass_tds,sacked,qbr
WarnKu00,Kurt Warner,11.5,QB,74,220,False,crd,sfo,False,3-4,False,30,8,11,26,16:16,Sunday,outdoors,grass,70,70,,0,2,32,21,16,5,-4,0,19,30,63.33333333333333,0,0,197,1,3,93.3
RyanMa00,Matt Ryan,10.2,QB,76,217,True,atl,det,True,4-3,False,9,5,29,11,13:04,Sunday,dome,fieldturf,,,,,14,2,32,31,5,-2,0,9,13,69.23076923076923,0,0,161,1,1,137.0
FlacJo00,Joe Flacco,14.9,QB,78,232,True,rav,cin,True,4-3,False,16,20,12,31,13:06,Sunday,outdoors,sportturf,78,85,,0,28,4,19,8,4,37,1,15,29,51.724137931034484,0,0,129,0,0,63.7
EdwaTr01,Trent Edwards,12.5,QB,76,231,False,buf,sea,True,4-3,False,14,25,18,18,13:02,Sunday,outdoors,astroplay,66,65,,0,22,14,30,17,1,-1,0,19,30,63.33333333333333,0,0,215,1,1,95.8
DelhJa00,Jake Delhomme,13.9,QB,74,215,False,car,sdg,False,3-4,False,7,9,25,20,16:15,Sunday,outdoors,grass,81,63,,0,19,3,20,20,0,0,0,23,41,56.09756097560976,0,0,247,1,1,82.1
OrtoKy00,Kyle Orton,6.5,QB,76,226,False,chi,clt,False,4-3,False,24,11,21,22,20:23,Sunday,retractable roof (open),fieldturf,,,,,21,24,12,18,1,10,0,13,21,61.904761904761905,0,1,150,0,2,83.4
PalmCa00,Carson Palmer,4.3,QB,77,230,False,cin,rav,False,3-4,False,32,27,1,15,13:06,Sunday,outdoors,sportturf,78,85,,0,30,29,2,1,3,15,0,9,24,37.5,1,0,94,0,2,32.3
AndeDe00,Derek Anderson,10.0,QB,78,229,False,cle,dal,True,3-4,False,22,7,14,1,16:16,Sunday,outdoors,grass,71,65,,0,31,26,11,14,4,24,0,11,24,45.83333333333333,0,2,114,1,1,74.0
RomoTo00,Tony Romo,18.7,QB,74,219,False,dal,cle,False,3-4,False,18,13,31,30,16:16,Sunday,outdoors,grass,71,65,,0,9,21,16,23,1,-1,0,24,32,75.0,1,0,320,1,0,103.6
CutlJa00,Jay Cutler,23.9,QB,75,225,False,den,rai,False,4-3,False,1,4,27,6,22:22,Monday,outdoors,grass,60,84,,0,3,12,13,28,5,9,0,16,24,66.66666666666666,0,0,300,2,0,137.5
KitnJo00,Jon Kitna,17.8,QB,74,220,False,det,atl,False,4-3,False,31,32,19,10,13:04,Sunday,dome,fieldturf,,,,,24,30,17,25,2,8,0,24,33,72.72727272727273,1,1,262,2,3,103.3
RodgAa00,Aaron Rodgers,20.1,QB,74,223,False,gnb,min,True,4-3,False,19,14,4,2,19:10,Monday,outdoors,grass,58,66,,0,8,17,5,4,8,35,1,18,22,81.81818181818183,0,1,178,1,0,115.5
SchaMa00,Matt Schaub,16.0,QB,77,235,False,htx,pit,False,3-4,False,10,16,7,3,13:02,Sunday,outdoors,dessograss,72,47,11,,4,13,1,2,2,4,1,25,33,75.75757575757575,2,1,202,1,5,75.6
MannPe00,Peyton Manning,14.3,QB,77,230,False,clt,chi,True,4-3,False,23,1,2,27,20:23,Sunday,retractable roof (open),fieldturf,,,,,5,31,9,5,0,0,0,30,49,61.224489795918366,0,0,257,1,2,81.8
GarrDa00,David Garrard,10.3,QB,73,244,False,jax,oti,False,4-3,False,12,24,6,9,13:05,Sunday,outdoors,grass,78,58,,,15,18,4,6,3,2,0,23,35,65.71428571428571,2,1,215,1,7,68.2
CroyBr00,Brodie Croyle,3.5,QB,74,205,False,kan,nwe,False,3-4,False,28,21,16,17,13:02,Sunday,outdoors,fieldturf,75,64,,0,20,16,24,11,0,0,0,11,19,57.89473684210527,0,0,88,0,1,69.6
