player_id,player,fant_pts,position,height,weight,rookie,team,opp,home,opp_def_align,after_bye,oline_rush,oline_pass,opp_dline_rush,opp_dline_pass,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,off_pass_rank,off_rush_rank,opp_def_pass_rank,opp_def_rush_rank,rush_att,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles
ArriJ.00,J.J. Arrington,15.9,RB,69,214,False,crd,ram,False,4-3,False,30,8,32,16,13:00,Sunday,dome,fieldturf,,,,,2,32,27,32,7,61,0,5,4,58,0,0
BoldAn00,Anquan Boldin,21.3,WR,73,218,False,crd,ram,False,4-3,False,30,8,32,16,13:00,Sunday,dome,fieldturf,,,,,2,32,27,32,2,8,0,9,6,85,1,0
BreaSt00,Steve Breaston,5.9,WR,73,175,False,crd,ram,False,4-3,False,30,8,32,16,13:00,Sunday,dome,fieldturf,,,,,2,32,27,32,0,0,0,4,2,39,0,0
FitzLa00,Larry Fitzgerald,14.1,WR,75,225,False,crd,ram,False,4-3,False,30,8,32,16,13:00,Sunday,dome,fieldturf,,,,,2,32,27,32,0,0,0,9,6,81,0,0
HighTi00,Tim Hightower,22.5,RB,72,226,True,crd,ram,False,4-3,False,30,8,32,16,13:00,Sunday,dome,fieldturf,,,,,2,32,27,32,22,109,1,2,2,6,0,0
UrbaJe00,Jerheme Urban,12.6,WR,75,212,False,crd,ram,False,4-3,False,30,8,32,16,13:00,Sunday,dome,fieldturf,,,,,2,32,27,32,0,0,0,1,1,56,1,0
HartBe00,Ben Hartsock,1.2,TE,76,264,False,atl,rai,False,4-3,False,9,5,27,6,16:15,Sunday,outdoors,grass,63,74,,0,14,2,13,28,0,0,0,1,1,2,0,0
JenkMi00,Michael Jenkins,20.4,WR,76,217,False,atl,rai,False,4-3,False,9,5,27,6,16:15,Sunday,outdoors,grass,63,74,,0,14,2,13,28,0,0,0,3,2,64,2,0
PeelJu00,Justin Peelle,6.3,TE,76,255,False,atl,rai,False,4-3,False,9,5,27,6,16:15,Sunday,outdoors,grass,63,74,,0,14,2,13,28,0,0,0,3,3,33,0,0
TurnMi00,Michael Turner,16.9,RB,70,237,False,atl,rai,False,4-3,False,9,5,27,6,16:15,Sunday,outdoors,grass,63,74,,0,14,2,13,28,30,139,0,0,0,0,0,0
WhitRo00,Roddy White,10.4,WR,73,201,False,atl,rai,False,4-3,False,9,5,27,6,16:15,Sunday,outdoors,grass,63,74,,0,14,2,13,28,0,0,0,5,5,54,0,0
ClayMa01,Mark Clayton,18.7,WR,70,193,False,rav,cle,False,3-4,False,16,20,31,30,13:02,Sunday,outdoors,grass,55,73,,0,28,4,16,23,0,0,0,11,4,87,1,0
MasoDe00,Derrick Mason,31.6,WR,70,190,False,rav,cle,False,3-4,False,16,20,31,30,13:02,Sunday,outdoors,grass,55,73,,0,28,4,16,23,0,0,0,10,9,136,1,0
RiceRa00,Ray Rice,23.6,RB,69,195,True,rav,cle,False,3-4,False,16,20,31,30,13:02,Sunday,outdoors,grass,55,73,,0,28,4,16,23,21,154,0,4,3,22,0,0
EvanLe00,Lee Evans,7.6,WR,70,202,False,buf,nyj,True,3-4,False,14,25,10,12,13:02,Sunday,outdoors,astroplay,49,50,,0,22,14,18,7,0,0,0,7,4,41,0,1
FineDe00,Derek Fine,14.3,TE,74,250,True,buf,nyj,True,3-4,False,14,25,10,12,13:02,Sunday,outdoors,astroplay,49,50,,0,22,14,18,7,0,0,0,4,4,43,1,0
JackFr02,Fred Jackson,7.0,RB,73,215,False,buf,nyj,True,3-4,False,14,25,10,12,13:02,Sunday,outdoors,astroplay,49,50,,0,22,14,18,7,7,15,0,6,3,25,0,0
JohnSt00,Steve Johnson,1.8,WR,74,210,True,buf,nyj,True,3-4,False,14,25,10,12,13:02,Sunday,outdoors,astroplay,49,50,,0,22,14,18,7,0,0,0,1,1,8,0,0
