game_id,team,opp,player_id,quarter,time,down,togo,location,score,detail,yards,touchdown
200811270phi,crd,phi,WarnKu00,4,14:56,2,10,47,13-34,Kurt Warner pass complete deep left to Larry Fitzgerald for 40 yards (tackle by Lito Sheppard),40,False
200811270phi,crd,phi,FitzLa00,4,14:56,2,10,47,13-34,Kurt Warner pass complete deep left to Larry Fitzgerald for 40 yards (tackle by Lito Sheppard),40,False
200811270phi,crd,phi,ShepLi99,4,14:56,2,10,47,13-34,Kurt Warner pass complete deep left to Larry Fitzgerald for 40 yards (tackle by Lito Sheppard),40,False
200811270phi,crd,phi,akersdav01,4,,,,30,20-48,"David Akers kicks off 65 yards, returned by J.J. Arrington for 29 yards (tackle by Quintin Demps)",29,False
200811270phi,crd,phi,ArriJ.00,4,,,,30,20-48,"David Akers kicks off 65 yards, returned by J.J. Arrington for 29 yards (tackle by Quintin Demps)",29,False
200811270phi,crd,phi,DempQu99,4,,,,30,20-48,"David Akers kicks off 65 yards, returned by J.J. Arrington for 29 yards (tackle by Quintin Demps)",29,False
200811270phi,crd,phi,WarnKu00,3,0:17,1,10,76,13-34,Kurt Warner pass complete short middle to Anquan Boldin for 27 yards (tackle by Joselio Hanson),27,False
200811270phi,crd,phi,BoldAn00,3,0:17,1,10,76,13-34,Kurt Warner pass complete short middle to Anquan Boldin for 27 yards (tackle by Joselio Hanson),27,False
200811270phi,crd,phi,HansJo20,3,0:17,1,10,76,13-34,Kurt Warner pass complete short middle to Anquan Boldin for 27 yards (tackle by Joselio Hanson),27,False
200811270phi,crd,phi,WarnKu00,2,6:04,3,2,89,0-21,Kurt Warner pass complete short right to Tim Hightower for 26 yards (tackle by Quintin Mikell),26,False
200811270phi,crd,phi,HighTi00,2,6:04,3,2,89,0-21,Kurt Warner pass complete short right to Tim Hightower for 26 yards (tackle by Quintin Mikell),26,False
200811270phi,crd,phi,MikeQu20,2,6:04,3,2,89,0-21,Kurt Warner pass complete short right to Tim Hightower for 26 yards (tackle by Quintin Mikell),26,False
200811270phi,crd,phi,WarnKu00,2,5:37,1,10,35,0-21,Kurt Warner pass complete deep right to Leonard Pope for 25 yards (tackle by Quintin Mikell),25,False
200811270phi,crd,phi,PopeLe00,2,5:37,1,10,35,0-21,Kurt Warner pass complete deep right to Leonard Pope for 25 yards (tackle by Quintin Mikell),25,False
200811270phi,crd,phi,MikeQu20,2,5:37,1,10,35,0-21,Kurt Warner pass complete deep right to Leonard Pope for 25 yards (tackle by Quintin Mikell),25,False
200811270phi,crd,phi,akersdav01,3,,,,30,13-34,"David Akers kicks off 69 yards, returned by J.J. Arrington for 25 yards (tackle by Torrance Daniels)",25,False
200811270phi,crd,phi,ArriJ.00,3,,,,30,13-34,"David Akers kicks off 69 yards, returned by J.J. Arrington for 25 yards (tackle by Torrance Daniels)",25,False
200811270phi,crd,phi,DaniTo20,3,,,,30,13-34,"David Akers kicks off 69 yards, returned by J.J. Arrington for 25 yards (tackle by Torrance Daniels)",25,False
200811270phi,crd,phi,akersdav01,4,,,,30,20-41,"David Akers kicks off 65 yards, returned by J.J. Arrington for 25 yards (tackle by Chris Gocong)",25,False
200811270phi,crd,phi,ArriJ.00,4,,,,30,20-41,"David Akers kicks off 65 yards, returned by J.J. Arrington for 25 yards (tackle by Chris Gocong)",25,False
200811270phi,crd,phi,GocoCh99,4,,,,30,20-41,"David Akers kicks off 65 yards, returned by J.J. Arrington for 25 yards (tackle by Chris Gocong)",25,False
200811270phi,crd,phi,akersdav01,1,,,,30,0-14,"David Akers kicks off 59 yards, returned by J.J. Arrington for 24 yards (tackle by Quintin Mikell)",24,False
200811270phi,crd,phi,ArriJ.00,1,,,,30,0-14,"David Akers kicks off 59 yards, returned by J.J. Arrington for 24 yards (tackle by Quintin Mikell)",24,False
200811270phi,crd,phi,MikeQu20,1,,,,30,0-14,"David Akers kicks off 59 yards, returned by J.J. Arrington for 24 yards (tackle by Quintin Mikell)",24,False
200811270phi,crd,phi,akersdav01,3,,,,30,7-31,"David Akers kicks off 66 yards, returned by J.J. Arrington for 21 yards (tackle by Tracy White)",21,False
200811270phi,crd,phi,ArriJ.00,3,,,,30,7-31,"David Akers kicks off 66 yards, returned by J.J. Arrington for 21 yards (tackle by Tracy White)",21,False
200811270phi,crd,phi,WhitTr20,3,,,,30,7-31,"David Akers kicks off 66 yards, returned by J.J. Arrington for 21 yards (tackle by Tracy White)",21,False
200811270phi,crd,phi,WarnKu00,3,4:38,1,10,35,7-31,Kurt Warner pass complete short middle to Anquan Boldin for 20 yards (tackle by Sheldon Brown),20,False
200811270phi,crd,phi,BoldAn00,3,4:38,1,10,35,7-31,Kurt Warner pass complete short middle to Anquan Boldin for 20 yards (tackle by Sheldon Brown),20,False
200811270phi,crd,phi,BrowSh20,3,4:38,1,10,35,7-31,Kurt Warner pass complete short middle to Anquan Boldin for 20 yards (tackle by Sheldon Brown),20,False
200811270phi,crd,phi,akersdav01,1,,,,30,0-7,"David Akers kicks off 63 yards, returned by J.J. Arrington for 17 yards (tackle by Sean Considine)",17,False
200811270phi,crd,phi,ArriJ.00,1,,,,30,0-7,"David Akers kicks off 63 yards, returned by J.J. Arrington for 17 yards (tackle by Sean Considine)",17,False
200811270phi,crd,phi,ConsSe20,1,,,,30,0-7,"David Akers kicks off 63 yards, returned by J.J. Arrington for 17 yards (tackle by Sean Considine)",17,False
200811270phi,crd,phi,WarnKu00,1,6:35,3,5,79,0-7,Kurt Warner pass complete deep right to Steve Breaston for 17 yards (tackle by Quintin Mikell),17,False
200811270phi,crd,phi,BreaSt00,1,6:35,3,5,79,0-7,Kurt Warner pass complete deep right to Steve Breaston for 17 yards (tackle by Quintin Mikell),17,False
200811270phi,crd,phi,MikeQu20,1,6:35,3,5,79,0-7,Kurt Warner pass complete deep right to Steve Breaston for 17 yards (tackle by Quintin Mikell),17,False
200811270phi,crd,phi,akersdav01,2,,,,30,0-21,"David Akers kicks off 68 yards, returned by J.J. Arrington for 17 yards (tackle by Sean Considine)",17,False
200811270phi,crd,phi,ArriJ.00,2,,,,30,0-21,"David Akers kicks off 68 yards, returned by J.J. Arrington for 17 yards (tackle by Sean Considine)",17,False
200811270phi,crd,phi,ConsSe20,2,,,,30,0-21,"David Akers kicks off 68 yards, returned by J.J. Arrington for 17 yards (tackle by Sean Considine)",17,False
200811270phi,crd,phi,akersdav01,3,,,,30,7-24,"David Akers kicks off 56 yards, returned by J.J. Arrington for 16 yards (tackle by Torrance Daniels)",16,False
