player_id,player,fant_pts,position,height,weight,rookie,team,opp,home,opp_def_align,after_bye,oline_rush,oline_pass,opp_dline_rush,opp_dline_pass,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,off_pass_rank,off_rush_rank,opp_def_pass_rank,opp_def_rush_rank,rush_att,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles
ArriJ.00,J.J. Arrington,1.0,RB,69,214,False,crd,phi,False,4-3,False,30,8,5,4,20:16,Thursday,outdoors,grass,41,62,5,,2,32,3,3,2,10,0,1,0,0,0,0
BoldAn00,Anquan Boldin,11.1,WR,73,218,False,crd,phi,False,4-3,False,30,8,5,4,20:16,Thursday,outdoors,grass,41,62,5,,2,32,3,3,1,8,0,10,5,63,0,2
BreaSt00,Steve Breaston,16.0,WR,73,175,False,crd,phi,False,4-3,False,30,8,5,4,20:16,Thursday,outdoors,grass,41,62,5,,2,32,3,3,0,0,0,10,6,45,1,1
FitzLa00,Larry Fitzgerald,23.5,WR,75,225,False,crd,phi,False,4-3,False,30,8,5,4,20:16,Thursday,outdoors,grass,41,62,5,,2,32,3,3,0,0,0,8,5,65,2,0
HighTi00,Tim Hightower,7.1,RB,72,226,True,crd,phi,False,4-3,False,30,8,5,4,20:16,Thursday,outdoors,grass,41,62,5,,2,32,3,3,7,7,0,3,3,34,0,0
PopeLe00,Leonard Pope,3.5,TE,80,264,False,crd,phi,False,4-3,False,30,8,5,4,20:16,Thursday,outdoors,grass,41,62,5,,2,32,3,3,0,0,0,1,1,25,0,0
UrbaJe00,Jerheme Urban,1.3,WR,75,212,False,crd,phi,False,4-3,False,30,8,5,4,20:16,Thursday,outdoors,grass,41,62,5,,2,32,3,3,0,0,0,5,1,3,0,0
JenkMi00,Michael Jenkins,3.2,WR,76,217,False,atl,sdg,False,3-4,False,9,5,25,20,16:05,Sunday,outdoors,grass,73,62,,0,14,2,20,20,0,0,0,3,1,22,0,0
PeelJu00,Justin Peelle,12.8,TE,76,255,False,atl,sdg,False,3-4,False,9,5,25,20,16:05,Sunday,outdoors,grass,73,62,,0,14,2,20,20,0,0,0,4,3,38,1,0
TurnMi00,Michael Turner,14.5,RB,70,237,False,atl,sdg,False,3-4,False,9,5,25,20,16:05,Sunday,outdoors,grass,73,62,,0,14,2,20,20,31,120,0,0,0,0,0,1
WhitRo00,Roddy White,20.2,WR,73,201,False,atl,sdg,False,3-4,False,9,5,25,20,16:05,Sunday,outdoors,grass,73,62,,0,14,2,20,20,0,0,0,7,6,112,0,0
ClayMa01,Mark Clayton,35.7,WR,70,193,False,rav,cin,False,4-3,False,16,20,12,31,13:02,Sunday,outdoors,fieldturf,42,93,3,,28,4,19,8,0,0,0,7,5,164,1,0
HeapTo00,Todd Heap,13.9,TE,77,252,False,rav,cin,False,4-3,False,16,20,12,31,13:02,Sunday,outdoors,fieldturf,42,93,3,,28,4,19,8,0,0,0,5,4,39,1,0
MasoDe00,Derrick Mason,21.1,WR,70,190,False,rav,cin,False,4-3,False,16,20,12,31,13:02,Sunday,outdoors,fieldturf,42,93,3,,28,4,19,8,0,0,0,9,6,91,1,0
RiceRa00,Ray Rice,9.5,RB,69,195,True,rav,cin,False,4-3,False,16,20,12,31,13:02,Sunday,outdoors,fieldturf,42,93,3,,28,4,19,8,11,41,0,6,4,14,0,0
WilcDa01,Daniel Wilcox,0,TE,73,245,False,rav,cin,False,4-3,False,16,20,12,31,13:02,Sunday,outdoors,fieldturf,42,93,3,,28,4,19,8,0,0,0,1,0,0,0,0
EvanLe00,Lee Evans,15.0,WR,70,202,False,buf,sfo,True,3-4,False,14,25,11,26,13:01,Sunday,outdoors,astroplay,38,69,,29,22,14,21,16,0,0,0,9,7,80,0,0
JackFr02,Fred Jackson,4.1,RB,73,215,False,buf,sfo,True,3-4,False,14,25,11,26,13:01,Sunday,outdoors,astroplay,38,69,,29,22,14,21,16,5,8,0,3,2,13,0,0
LyncMa00,Marshawn Lynch,17.0,RB,71,215,False,buf,sfo,True,3-4,False,14,25,11,26,13:01,Sunday,outdoors,astroplay,38,69,,29,22,14,21,16,16,134,0,5,1,1,0,1
ParrRo00,Roscoe Parrish,3.8,WR,70,168,False,buf,sfo,True,3-4,False,14,25,11,26,13:01,Sunday,outdoors,astroplay,38,69,,29,22,14,21,16,1,9,0,3,2,9,0,0
