game_id,team,opp,player_id,quarter,time,down,togo,location,score,detail,yards,touchdown
200812210nwe,crd,nwe,LeinMa00,4,6:30,2,17,72,6-47,"Matt Leinart pass complete deep left to Larry Fitzgerald for 78 yards, touchdown",78,True
200812210nwe,crd,nwe,FitzLa00,4,6:30,2,17,72,6-47,"Matt Leinart pass complete deep left to Larry Fitzgerald for 78 yards, touchdown",78,True
200812210nwe,crd,nwe,GostSt20,1,,,,30,0-7,"Stephen Gostkowski kicks off 63 yards, returned by Steve Breaston for 28 yards (tackle by Kelley Washington)",28,False
200812210nwe,crd,nwe,BreaSt00,1,,,,30,0-7,"Stephen Gostkowski kicks off 63 yards, returned by Steve Breaston for 28 yards (tackle by Kelley Washington)",28,False
200812210nwe,crd,nwe,WashKe00,1,,,,30,0-7,"Stephen Gostkowski kicks off 63 yards, returned by Steve Breaston for 28 yards (tackle by Kelley Washington)",28,False
200812210nwe,crd,nwe,LeinMa00,4,14:37,3,10,77,0-47,Matt Leinart pass complete deep right to Jerheme Urban for 28 yards (tackle by Matt Slater),28,False
200812210nwe,crd,nwe,UrbaJe00,4,14:37,3,10,77,0-47,Matt Leinart pass complete deep right to Jerheme Urban for 28 yards (tackle by Matt Slater),28,False
200812210nwe,crd,nwe,SlatMa00,4,14:37,3,10,77,0-47,Matt Leinart pass complete deep right to Jerheme Urban for 28 yards (tackle by Matt Slater),28,False
200812210nwe,crd,nwe,GostSt20,2,,,,15,0-28,"Stephen Gostkowski kicks off 68 yards, returned by Steve Breaston for 22 yards (tackle by Vince Redd)",22,False
200812210nwe,crd,nwe,BreaSt00,2,,,,15,0-28,"Stephen Gostkowski kicks off 68 yards, returned by Steve Breaston for 22 yards (tackle by Vince Redd)",22,False
200812210nwe,crd,nwe,ReddVi00,2,,,,15,0-28,"Stephen Gostkowski kicks off 68 yards, returned by Steve Breaston for 22 yards (tackle by Vince Redd)",22,False
200812210nwe,crd,nwe,GostSt20,1,,,,30,0-14,"Stephen Gostkowski kicks off 64 yards, returned by Steve Breaston for 20 yards (tackle by Raymond Ventrone)",20,False
200812210nwe,crd,nwe,BreaSt00,1,,,,30,0-14,"Stephen Gostkowski kicks off 64 yards, returned by Steve Breaston for 20 yards (tackle by Raymond Ventrone)",20,False
200812210nwe,crd,nwe,VentRa20,1,,,,30,0-14,"Stephen Gostkowski kicks off 64 yards, returned by Steve Breaston for 20 yards (tackle by Raymond Ventrone)",20,False
200812210nwe,crd,nwe,GostSt20,3,,,,30,0-44,"Stephen Gostkowski kicks off 67 yards, returned by Steve Breaston for 18 yards (tackle by Mike Richardson)",18,False
200812210nwe,crd,nwe,BreaSt00,3,,,,30,0-44,"Stephen Gostkowski kicks off 67 yards, returned by Steve Breaston for 18 yards (tackle by Mike Richardson)",18,False
200812210nwe,crd,nwe,RichMi99,3,,,,30,0-44,"Stephen Gostkowski kicks off 67 yards, returned by Steve Breaston for 18 yards (tackle by Mike Richardson)",18,False
200812210nwe,crd,nwe,GostSt20,4,,,,30,0-47,"Stephen Gostkowski kicks off 59 yards, returned by Steve Breaston for 16 yards (tackle by Sam Aiken)",16,False
200812210nwe,crd,nwe,BreaSt00,4,,,,30,0-47,"Stephen Gostkowski kicks off 59 yards, returned by Steve Breaston for 16 yards (tackle by Sam Aiken)",16,False
200812210nwe,crd,nwe,AikeSa00,4,,,,30,0-47,"Stephen Gostkowski kicks off 59 yards, returned by Steve Breaston for 16 yards (tackle by Sam Aiken)",16,False
200812210nwe,crd,nwe,GostSt20,2,,,,30,0-31,"Stephen Gostkowski kicks off 47 yards, returned by Sean Morey for 15 yards (tackle by Antwain Spann)",15,False
200812210nwe,crd,nwe,MoreSe00,2,,,,30,0-31,"Stephen Gostkowski kicks off 47 yards, returned by Sean Morey for 15 yards (tackle by Antwain Spann)",15,False
200812210nwe,crd,nwe,SpanAn20,2,,,,30,0-31,"Stephen Gostkowski kicks off 47 yards, returned by Sean Morey for 15 yards (tackle by Antwain Spann)",15,False
200812210nwe,crd,nwe,LeinMa00,4,12:00,2,7,72,0-47,Matt Leinart pass complete short left to Tim Hightower for 15 yards (tackle by Jerod Mayo),15,False
200812210nwe,crd,nwe,HighTi00,4,12:00,2,7,72,0-47,Matt Leinart pass complete short left to Tim Hightower for 15 yards (tackle by Jerod Mayo),15,False
200812210nwe,crd,nwe,MayoJe99,4,12:00,2,7,72,0-47,Matt Leinart pass complete short left to Tim Hightower for 15 yards (tackle by Jerod Mayo),15,False
200812210nwe,crd,nwe,GostSt20,1,,,,30,0-0,"Stephen Gostkowski kicks off 67 yards, returned by Steve Breaston for 14 yards (tackle by Mike Richardson)",14,False
200812210nwe,crd,nwe,BreaSt00,1,,,,30,0-0,"Stephen Gostkowski kicks off 67 yards, returned by Steve Breaston for 14 yards (tackle by Mike Richardson)",14,False
200812210nwe,crd,nwe,RichMi99,1,,,,30,0-0,"Stephen Gostkowski kicks off 67 yards, returned by Steve Breaston for 14 yards (tackle by Mike Richardson)",14,False
200812210nwe,crd,nwe,LeinMa00,4,11:31,1,10,87,0-47,Matt Leinart pass complete short left to Larry Fitzgerald for 13 yards (tackle by Brandon Meriweather),13,False
200812210nwe,crd,nwe,FitzLa00,4,11:31,1,10,87,0-47,Matt Leinart pass complete short left to Larry Fitzgerald for 13 yards (tackle by Brandon Meriweather),13,False
200812210nwe,crd,nwe,MeriBr99,4,11:31,1,10,87,0-47,Matt Leinart pass complete short left to Larry Fitzgerald for 13 yards (tackle by Brandon Meriweather),13,False
200812210nwe,crd,nwe,JameEd00,2,9:45,1,10,98,0-21,Edgerrin James right guard for 12 yards (tackle by Jonathan Wilhite and Brandon Meriweather),12,False
200812210nwe,crd,nwe,WilhJo99,2,9:45,1,10,98,0-21,Edgerrin James right guard for 12 yards (tackle by Jonathan Wilhite and Brandon Meriweather),12,False
200812210nwe,crd,nwe,MeriBr99,2,9:45,1,10,98,0-21,Edgerrin James right guard for 12 yards (tackle by Jonathan Wilhite and Brandon Meriweather),12,False
200812210nwe,crd,nwe,GostSt20,2,,,,30,0-21,"Stephen Gostkowski kicks off 61 yards, returned by Steve Breaston for 10 yards (tackle by Matt Slater)",10,False
200812210nwe,crd,nwe,BreaSt00,2,,,,30,0-21,"Stephen Gostkowski kicks off 61 yards, returned by Steve Breaston for 10 yards (tackle by Matt Slater)",10,False
200812210nwe,crd,nwe,SlatMa00,2,,,,30,0-21,"Stephen Gostkowski kicks off 61 yards, returned by Steve Breaston for 10 yards (tackle by Matt Slater)",10,False
200812210nwe,crd,nwe,WarnKu00,2,10:13,2,4,88,0-21,Kurt Warner pass complete short left to Larry Fitzgerald for 10 yards,10,False
200812210nwe,crd,nwe,FitzLa00,2,10:13,2,4,88,0-21,Kurt Warner pass complete short left to Larry Fitzgerald for 10 yards,10,False
200812210nwe,crd,nwe,WarnKu00,2,11:54,2,10,69,0-21,Kurt Warner pass complete short left to Jerheme Urban for 8 yards (tackle by Lewis Sanders),8,False
200812210nwe,crd,nwe,UrbaJe00,2,11:54,2,10,69,0-21,Kurt Warner pass complete short left to Jerheme Urban for 8 yards (tackle by Lewis Sanders),8,False
200812210nwe,crd,nwe,SandLe20,2,11:54,2,10,69,0-21,Kurt Warner pass complete short left to Jerheme Urban for 8 yards (tackle by Lewis Sanders),8,False
200812210nwe,crd,nwe,LeinMa00,3,2:18,3,5,76,0-44,Matt Leinart up the middle for 8 yards (tackle by LeKevin Smith),8,False
200812210nwe,crd,nwe,SmitLe20,3,2:18,3,5,76,0-44,Matt Leinart up the middle for 8 yards (tackle by LeKevin Smith),8,False
200812210nwe,crd,nwe,GostSt20,3,,,,30,0-41,"Stephen Gostkowski kicks off 66 yards, returned by Steve Breaston for 7 yards (tackle by Heath Evans)",7,False
200812210nwe,crd,nwe,BreaSt00,3,,,,30,0-41,"Stephen Gostkowski kicks off 66 yards, returned by Steve Breaston for 7 yards (tackle by Heath Evans)",7,False
200812210nwe,crd,nwe,EvanHe00,3,,,,30,0-41,"Stephen Gostkowski kicks off 66 yards, returned by Steve Breaston for 7 yards (tackle by Heath Evans)",7,False
200812210nwe,crd,nwe,WarnKu00,2,10:53,1,10,82,0-21,Kurt Warner pass complete short right to Early Doucet for 6 yards (tackle by Brandon Meriweather),6,False
200812210nwe,crd,nwe,DoucEa00,2,10:53,1,10,82,0-21,Kurt Warner pass complete short right to Early Doucet for 6 yards (tackle by Brandon Meriweather),6,False
200812210nwe,crd,nwe,MeriBr99,2,10:53,1,10,82,0-21,Kurt Warner pass complete short right to Early Doucet for 6 yards (tackle by Brandon Meriweather),6,False
200812210nwe,crd,nwe,WarnKu00,2,8:31,2,9,39,0-21,Kurt Warner pass complete short left to Edgerrin James for 6 yards (tackle by Rosevelt Colvin),6,False
200812210nwe,crd,nwe,JameEd00,2,8:31,2,9,39,0-21,Kurt Warner pass complete short left to Edgerrin James for 6 yards (tackle by Rosevelt Colvin),6,False
200812210nwe,crd,nwe,ColvRo20,2,8:31,2,9,39,0-21,Kurt Warner pass complete short left to Edgerrin James for 6 yards (tackle by Rosevelt Colvin),6,False
200812210nwe,crd,nwe,GostSt20,3,,,,30,0-38,"Stephen Gostkowski kicks off 60 yards, returned by Steve Breaston for no gain",6,False
200812210nwe,crd,nwe,BreaSt00,3,,,,30,0-38,"Stephen Gostkowski kicks off 60 yards, returned by Steve Breaston for no gain",6,False
200812210nwe,crd,nwe,LeinMa00,4,10:52,1,10,50,0-47,Matt Leinart pass complete short left to Steve Breaston for 6 yards,6,False
200812210nwe,crd,nwe,BreaSt00,4,10:52,1,10,50,0-47,Matt Leinart pass complete short left to Steve Breaston for 6 yards,6,False
200812210nwe,crd,nwe,HighTi00,1,8:51,1,10,85,0-7,Tim Hightower up the middle for 5 yards (tackle by Mike Wright and Junior Seau),5,False
200812210nwe,crd,nwe,WrigMi20,1,8:51,1,10,85,0-7,Tim Hightower up the middle for 5 yards (tackle by Mike Wright and Junior Seau),5,False
200812210nwe,crd,nwe,SeauJu00,1,8:51,1,10,85,0-7,Tim Hightower up the middle for 5 yards (tackle by Mike Wright and Junior Seau),5,False
200812210nwe,crd,nwe,JameEd00,2,14:57,3,15,54,0-14,Edgerrin James left guard for 5 yards (tackle by Jerod Mayo),5,False
200812210nwe,crd,nwe,MayoJe99,2,14:57,3,15,54,0-14,Edgerrin James left guard for 5 yards (tackle by Jerod Mayo),5,False
200812210nwe,crd,nwe,WarnKu00,2,11:29,3,2,77,0-21,Kurt Warner pass complete short right to Early Doucet for 5 yards (tackle by Mike Vrabel),5,False
200812210nwe,crd,nwe,DoucEa00,2,11:29,3,2,77,0-21,Kurt Warner pass complete short right to Early Doucet for 5 yards (tackle by Mike Vrabel),5,False
200812210nwe,crd,nwe,VrabMi20,2,11:29,3,2,77,0-21,Kurt Warner pass complete short right to Early Doucet for 5 yards (tackle by Mike Vrabel),5,False
200812210nwe,crd,nwe,HighTi00,1,14:55,1,10,67,0-0,Tim Hightower up the middle for 3 yards (tackle by Vince Wilfork and Richard Seymour),3,False
