player_id,player,fant_pts,position,height,weight,rookie,team,opp,home,opp_def_align,after_bye,oline_rush,oline_pass,opp_dline_rush,opp_dline_pass,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,off_pass_rank,off_rush_rank,opp_def_pass_rank,opp_def_rush_rank,rush_att,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles
BreaSt00,Steve Breaston,1.6,WR,73,175,False,crd,nwe,False,3-4,False,30,8,16,17,13:02,Sunday,outdoors,fieldturf,30,100,,21,2,32,24,11,0,0,0,3,1,6,0,0
FitzLa00,Larry Fitzgerald,22.1,WR,75,225,False,crd,nwe,False,3-4,False,30,8,16,17,13:02,Sunday,outdoors,fieldturf,30,100,,21,2,32,24,11,0,0,0,10,3,101,1,0
HighTi00,Tim Hightower,4.2,RB,72,226,True,crd,nwe,False,3-4,False,30,8,16,17,13:02,Sunday,outdoors,fieldturf,30,100,,21,2,32,24,11,10,17,0,6,2,10,0,1
JameEd00,Edgerrin James,3.5,RB,72,214,False,crd,nwe,False,3-4,False,30,8,16,17,13:02,Sunday,outdoors,fieldturf,30,100,,21,2,32,24,11,4,19,0,3,1,6,0,0
UrbaJe00,Jerheme Urban,5.6,WR,75,212,False,crd,nwe,False,3-4,False,30,8,16,17,13:02,Sunday,outdoors,fieldturf,30,100,,21,2,32,24,11,0,0,0,4,2,36,0,0
JenkMi00,Michael Jenkins,10.1,WR,76,217,False,atl,min,False,4-3,False,9,5,4,2,16:15,Sunday,dome,fieldturf,,,,,14,2,5,4,0,0,0,8,4,61,0,0
PeelJu00,Justin Peelle,1.8,TE,76,255,False,atl,min,False,4-3,False,9,5,4,2,16:15,Sunday,dome,fieldturf,,,,,14,2,5,4,0,0,0,2,1,8,0,0
TurnMi00,Michael Turner,13.0,RB,70,237,False,atl,min,False,4-3,False,9,5,4,2,16:15,Sunday,dome,fieldturf,,,,,14,2,5,4,19,70,1,0,0,0,0,0
WhitRo00,Roddy White,5.4,WR,73,201,False,atl,min,False,4-3,False,9,5,4,2,16:15,Sunday,dome,fieldturf,,,,,14,2,5,4,0,0,0,7,3,24,0,0
ClayMa01,Mark Clayton,7.5,WR,70,193,False,rav,dal,False,3-4,False,16,20,14,1,20:15,Saturday,outdoors,fieldturf,45,45,,0,28,4,11,14,0,0,0,6,4,35,0,0
HeapTo00,Todd Heap,4.4,TE,77,252,False,rav,dal,False,3-4,False,16,20,14,1,20:15,Saturday,outdoors,fieldturf,45,45,,0,28,4,11,14,0,0,0,6,2,24,0,0
MasoDe00,Derrick Mason,18.1,WR,70,190,False,rav,dal,False,3-4,False,16,20,14,1,20:15,Saturday,outdoors,fieldturf,45,45,,0,28,4,11,14,0,0,0,6,6,66,1,1
McGaWi00,Willis McGahee,24.9,RB,72,228,False,rav,dal,False,3-4,False,16,20,14,1,20:15,Saturday,outdoors,fieldturf,45,45,,0,28,4,11,14,8,108,1,3,3,21,0,0
EvanLe00,Lee Evans,3.9,WR,70,202,False,buf,den,False,4-3,False,14,25,23,19,16:06,Sunday,outdoors,grass,17,61,,7,22,14,31,29,0,0,0,4,2,19,0,0
JackFr02,Fred Jackson,20.3,RB,73,215,False,buf,den,False,4-3,False,14,25,23,19,16:06,Sunday,outdoors,grass,17,61,,7,22,14,31,29,10,43,1,4,3,70,0,0
JohnSt00,Steve Johnson,7.3,WR,74,210,True,buf,den,False,4-3,False,14,25,23,19,16:06,Sunday,outdoors,grass,17,61,,7,22,14,31,29,0,0,0,1,1,3,1,0
LyncMa00,Marshawn Lynch,9.4,RB,71,215,False,buf,den,False,4-3,False,14,25,23,19,16:06,Sunday,outdoors,grass,17,61,,7,22,14,31,29,11,34,1,1,0,0,0,0
ParrRo00,Roscoe Parrish,2.4,WR,70,168,False,buf,den,False,4-3,False,14,25,23,19,16:06,Sunday,outdoors,grass,17,61,,7,22,14,31,29,1,0,0,3,1,14,0,0
