game_id,team,opp,player_id,quarter,time,down,togo,location,score,detail,yards,touchdown
200809210was,crd,was,WarnKu00,3,2:03,2,6,88,16-17,"Kurt Warner pass complete deep middle to Larry Fitzgerald for 62 yards, touchdown",62,True
200809210was,crd,was,FitzLa00,3,2:03,2,6,88,16-17,"Kurt Warner pass complete deep middle to Larry Fitzgerald for 62 yards, touchdown",62,True
200809210was,crd,was,suishsha01,4,,,,30,17-24,"Shaun Suisham kicks off 65 yards, returned by Steve Breaston for 34 yards (tackle by H.B. Blades)",34,False
200809210was,crd,was,BreaSt00,4,,,,30,17-24,"Shaun Suisham kicks off 65 yards, returned by Steve Breaston for 34 yards (tackle by H.B. Blades)",34,False
200809210was,crd,was,BladH.99,4,,,,30,17-24,"Shaun Suisham kicks off 65 yards, returned by Steve Breaston for 34 yards (tackle by H.B. Blades)",34,False
200809210was,crd,was,rackenei01,3,9:25,4,9,9,10-10,Neil Rackers 26 yard field goal good,26,False
200809210was,crd,was,suishsha01,2,,,,30,0-10,"Shaun Suisham kicks off 75 yards, returned by Steve Breaston for 23 yards (tackle by Mike Sellers)",23,False
200809210was,crd,was,BreaSt00,2,,,,30,0-10,"Shaun Suisham kicks off 75 yards, returned by Steve Breaston for 23 yards (tackle by Mike Sellers)",23,False
200809210was,crd,was,SellMi00,2,,,,30,0-10,"Shaun Suisham kicks off 75 yards, returned by Steve Breaston for 23 yards (tackle by Mike Sellers)",23,False
200809210was,crd,was,suishsha01,3,,,,30,7-10,"Shaun Suisham kicks off 72 yards, returned by Steve Breaston for 21 yards (tackle by Mike Sellers)",21,False
200809210was,crd,was,BreaSt00,3,,,,30,7-10,"Shaun Suisham kicks off 72 yards, returned by Steve Breaston for 21 yards (tackle by Mike Sellers)",21,False
200809210was,crd,was,SellMi00,3,,,,30,7-10,"Shaun Suisham kicks off 72 yards, returned by Steve Breaston for 21 yards (tackle by Mike Sellers)",21,False
200809210was,crd,was,WarnKu00,3,3:08,1,10,65,10-17,Kurt Warner pass complete short middle to Ben Patrick for 19 yards (tackle by LaRon Landry),19,False
200809210was,crd,was,PatrBe00,3,3:08,1,10,65,10-17,Kurt Warner pass complete short middle to Ben Patrick for 19 yards (tackle by LaRon Landry),19,False
200809210was,crd,was,LandLa99,3,3:08,1,10,65,10-17,Kurt Warner pass complete short middle to Ben Patrick for 19 yards (tackle by LaRon Landry),19,False
200809210was,crd,was,WarnKu00,2,6:29,1,20,79,0-10,Kurt Warner pass complete deep middle to Larry Fitzgerald for 18 yards (tackle by Chris Horton),18,False
200809210was,crd,was,FitzLa00,2,6:29,1,20,79,0-10,Kurt Warner pass complete deep middle to Larry Fitzgerald for 18 yards (tackle by Chris Horton),18,False
200809210was,crd,was,HortCh99,2,6:29,1,20,79,0-10,Kurt Warner pass complete deep middle to Larry Fitzgerald for 18 yards (tackle by Chris Horton),18,False
200809210was,crd,was,UrbaJe00,2,3:32,1,10,22,0-10,Jerheme Urban pass complete short right to Tim Hightower for 18 yards (tackle by Carlos Rogers),18,False
200809210was,crd,was,HighTi00,2,3:32,1,10,22,0-10,Jerheme Urban pass complete short right to Tim Hightower for 18 yards (tackle by Carlos Rogers),18,False
200809210was,crd,was,RogeCa20,2,3:32,1,10,22,0-10,Jerheme Urban pass complete short right to Tim Hightower for 18 yards (tackle by Carlos Rogers),18,False
200809210was,crd,was,JameEd00,4,12:01,1,10,89,17-24,Edgerrin James left end for 16 yards (tackle by LaRon Landry),16,False
200809210was,crd,was,LandLa99,4,12:01,1,10,89,17-24,Edgerrin James left end for 16 yards (tackle by LaRon Landry),16,False
200809210was,crd,was,WarnKu00,2,11:03,3,17,73,0-10,Kurt Warner pass complete short middle to Tim Hightower for 14 yards (tackle by Reed Doughty),14,False
200809210was,crd,was,HighTi00,2,11:03,3,17,73,0-10,Kurt Warner pass complete short middle to Tim Hightower for 14 yards (tackle by Reed Doughty),14,False
200809210was,crd,was,DougRe20,2,11:03,3,17,73,0-10,Kurt Warner pass complete short middle to Tim Hightower for 14 yards (tackle by Reed Doughty),14,False
200809210was,crd,was,WarnKu00,3,14:05,3,7,72,7-10,"Kurt Warner pass complete short middle to Anquan Boldin for 14 yards (tackle by Carlos Rogers). Penalty on Fred Smoot: Roughing the Passer, 15 yards",14,False
200809210was,crd,was,BoldAn00,3,14:05,3,7,72,7-10,"Kurt Warner pass complete short middle to Anquan Boldin for 14 yards (tackle by Carlos Rogers). Penalty on Fred Smoot: Roughing the Passer, 15 yards",14,False
200809210was,crd,was,RogeCa20,3,14:05,3,7,72,7-10,"Kurt Warner pass complete short middle to Anquan Boldin for 14 yards (tackle by Carlos Rogers). Penalty on Fred Smoot: Roughing the Passer, 15 yards",14,False
200809210was,crd,was,SmooFr20,3,14:05,3,7,72,7-10,"Kurt Warner pass complete short middle to Anquan Boldin for 14 yards (tackle by Carlos Rogers). Penalty on Fred Smoot: Roughing the Passer, 15 yards",14,False
200809210was,crd,was,JameEd00,2,5:05,1,10,47,0-10,Edgerrin James right end for 12 yards (tackle by Anthony Montgomery),12,False
200809210was,crd,was,MontAn20,2,5:05,1,10,47,0-10,Edgerrin James right end for 12 yards (tackle by Anthony Montgomery),12,False
200809210was,crd,was,WarnKu00,2,8:23,2,7,69,0-10,Kurt Warner pass complete short middle to Edgerrin James for 10 yards (tackle by London Fletcher),10,False
200809210was,crd,was,JameEd00,2,8:23,2,7,69,0-10,Kurt Warner pass complete short middle to Edgerrin James for 10 yards (tackle by London Fletcher),10,False
200809210was,crd,was,FletLo20,2,8:23,2,7,69,0-10,Kurt Warner pass complete short middle to Edgerrin James for 10 yards (tackle by London Fletcher),10,False
200809210was,crd,was,HighTi00,2,7:42,1,10,79,0-10,Tim Hightower left end for 10 yards (tackle by London Fletcher),10,False
200809210was,crd,was,FletLo20,2,7:42,1,10,79,0-10,Tim Hightower left end for 10 yards (tackle by London Fletcher),10,False
200809210was,crd,was,WarnKu00,3,10:52,3,9,19,7-10,Kurt Warner pass complete short middle to Larry Fitzgerald for 9 yards (tackle by LaRon Landry),9,False
200809210was,crd,was,FitzLa00,3,10:52,3,9,19,7-10,Kurt Warner pass complete short middle to Larry Fitzgerald for 9 yards (tackle by LaRon Landry),9,False
200809210was,crd,was,LandLa99,3,10:52,3,9,19,7-10,Kurt Warner pass complete short middle to Larry Fitzgerald for 9 yards (tackle by LaRon Landry),9,False
