game_id,team,opp,player_id,quarter,time,down,togo,location,score,detail,yards,touchdown
200810120crd,crd,dal,FolkNi20,1,,,,30,6-0,"Nick Folk kicks off 63 yards, returned by J.J. Arrington for 93 yards, touchdown",93,True
200810120crd,crd,dal,ArriJ.00,1,,,,30,6-0,"Nick Folk kicks off 63 yards, returned by J.J. Arrington for 93 yards, touchdown",93,True
200810120crd,crd,dal,rackenei01,4,3:21,4,5,23,24-14,Neil Rackers 41 yard field goal good,41,False
200810120crd,crd,dal,WarnKu00,4,15:00,1,10,73,14-14,Kurt Warner pass complete deep left to Larry Fitzgerald for 39 yards (tackle by Anthony Henry),39,False
200810120crd,crd,dal,FitzLa00,4,15:00,1,10,73,14-14,Kurt Warner pass complete deep left to Larry Fitzgerald for 39 yards (tackle by Anthony Henry),39,False
200810120crd,crd,dal,HenrAn20,4,15:00,1,10,73,14-14,Kurt Warner pass complete deep left to Larry Fitzgerald for 39 yards (tackle by Anthony Henry),39,False
200810120crd,crd,dal,WarnKu00,2,7:20,2,8,86,7-0,Kurt Warner pass complete deep right to Steve Breaston for 23 yards (tackle by Mike Jenkins),23,False
200810120crd,crd,dal,BreaSt00,2,7:20,2,8,86,7-0,Kurt Warner pass complete deep right to Steve Breaston for 23 yards (tackle by Mike Jenkins),23,False
200810120crd,crd,dal,JenkMi99,2,7:20,2,8,86,7-0,Kurt Warner pass complete deep right to Steve Breaston for 23 yards (tackle by Mike Jenkins),23,False
200810120crd,crd,dal,WarnKu00,3,6:33,3,6,46,7-14,Kurt Warner pass complete short middle to Steve Breaston for 22 yards (tackle by Anthony Henry),22,False
200810120crd,crd,dal,BreaSt00,3,6:33,3,6,46,7-14,Kurt Warner pass complete short middle to Steve Breaston for 22 yards (tackle by Anthony Henry),22,False
200810120crd,crd,dal,HenrAn20,3,6:33,3,6,46,7-14,Kurt Warner pass complete short middle to Steve Breaston for 22 yards (tackle by Anthony Henry),22,False
200810120crd,crd,dal,WarnKu00,3,7:27,3,17,83,7-14,Kurt Warner pass complete short left to Tim Hightower for 17 yards (tackle by Courtney L. Brown),17,False
200810120crd,crd,dal,HighTi00,3,7:27,3,17,83,7-14,Kurt Warner pass complete short left to Tim Hightower for 17 yards (tackle by Courtney L. Brown),17,False
200810120crd,crd,dal,BrowCo97,3,7:27,3,17,83,7-14,Kurt Warner pass complete short left to Tim Hightower for 17 yards (tackle by Courtney L. Brown),17,False
200810120crd,crd,dal,WarnKu00,3,0:23,1,15,56,14-14,Kurt Warner pass complete deep left to Steve Breaston for 17 yards (tackle by Anthony Henry),17,False
200810120crd,crd,dal,BreaSt00,3,0:23,1,15,56,14-14,Kurt Warner pass complete deep left to Steve Breaston for 17 yards (tackle by Anthony Henry),17,False
200810120crd,crd,dal,HenrAn20,3,0:23,1,15,56,14-14,Kurt Warner pass complete deep left to Steve Breaston for 17 yards (tackle by Anthony Henry),17,False
200810120crd,crd,dal,WarnKu00,1,7:48,1,10,78,7-0,Kurt Warner pass complete short left to Steve Breaston for 16 yards (tackle by Pacman Jones),16,False
200810120crd,crd,dal,BreaSt00,1,7:48,1,10,78,7-0,Kurt Warner pass complete short left to Steve Breaston for 16 yards (tackle by Pacman Jones),16,False
200810120crd,crd,dal,JonePa20,1,7:48,1,10,78,7-0,Kurt Warner pass complete short left to Steve Breaston for 16 yards (tackle by Pacman Jones),16,False
200810120crd,crd,dal,WarnKu00,4,6:48,3,7,87,21-14,Kurt Warner pass complete short left to Larry Fitzgerald for 16 yards (tackle by Pacman Jones),16,False
200810120crd,crd,dal,FitzLa00,4,6:48,3,7,87,21-14,Kurt Warner pass complete short left to Larry Fitzgerald for 16 yards (tackle by Pacman Jones),16,False
200810120crd,crd,dal,JonePa20,4,6:48,3,7,87,21-14,Kurt Warner pass complete short left to Larry Fitzgerald for 16 yards (tackle by Pacman Jones),16,False
200810120crd,crd,dal,WarnKu00,4,5:22,2,3,40,21-14,Kurt Warner pass complete short left to Larry Fitzgerald for 12 yards (tackle by Orlando Scandrick),12,False
200810120crd,crd,dal,FitzLa00,4,5:22,2,3,40,21-14,Kurt Warner pass complete short left to Larry Fitzgerald for 12 yards (tackle by Orlando Scandrick),12,False
200810120crd,crd,dal,ScanOr99,4,5:22,2,3,40,21-14,Kurt Warner pass complete short left to Larry Fitzgerald for 12 yards (tackle by Orlando Scandrick),12,False
200810120crd,crd,dal,WarnKu00,4,10:49,1,10,11,20-14,"Kurt Warner pass complete short left to Steve Breaston for 11 yards, touchdown",11,True
200810120crd,crd,dal,BreaSt00,4,10:49,1,10,11,20-14,"Kurt Warner pass complete short left to Steve Breaston for 11 yards, touchdown",11,True
200810120crd,crd,dal,WarnKu00,2,15:00,2,23,57,7-0,Kurt Warner pass complete short left to Larry Fitzgerald for 10 yards (tackle by Chris L. Canty),10,False
200810120crd,crd,dal,FitzLa00,2,15:00,2,23,57,7-0,Kurt Warner pass complete short left to Larry Fitzgerald for 10 yards (tackle by Chris L. Canty),10,False
200810120crd,crd,dal,CantCh21,2,15:00,2,23,57,7-0,Kurt Warner pass complete short left to Larry Fitzgerald for 10 yards (tackle by Chris L. Canty),10,False
200810120crd,crd,dal,WarnKu00,3,5:44,1,10,24,7-14,Kurt Warner pass complete short left to J.J. Arrington for 10 yards (tackle by Bradie James),10,False
200810120crd,crd,dal,ArriJ.00,3,5:44,1,10,24,7-14,Kurt Warner pass complete short left to J.J. Arrington for 10 yards (tackle by Bradie James),10,False
200810120crd,crd,dal,JameBr20,3,5:44,1,10,24,7-14,Kurt Warner pass complete short left to J.J. Arrington for 10 yards (tackle by Bradie James),10,False
200810120crd,crd,dal,JameEd00,1,12:25,1,15,70,7-0,Edgerrin James right tackle for 9 yards (tackle by Bradie James),9,False
200810120crd,crd,dal,JameBr20,1,12:25,1,15,70,7-0,Edgerrin James right tackle for 9 yards (tackle by Bradie James),9,False
200810120crd,crd,dal,WarnKu00,4,14:10,1,10,38,14-14,Kurt Warner pass complete short left to Steve Breaston for 9 yards (tackle by DeMarcus Ware),9,False
200810120crd,crd,dal,BreaSt00,4,14:10,1,10,38,14-14,Kurt Warner pass complete short left to Steve Breaston for 9 yards (tackle by DeMarcus Ware),9,False
200810120crd,crd,dal,WareDe99,4,14:10,1,10,38,14-14,Kurt Warner pass complete short left to Steve Breaston for 9 yards (tackle by DeMarcus Ware),9,False
200810120crd,crd,dal,JameEd00,4,13:42,2,1,29,14-14,Edgerrin James right tackle for 8 yards (tackle by Marcus R. Spears and Greg Ellis),8,False
200810120crd,crd,dal,SpeaMa21,4,13:42,2,1,29,14-14,Edgerrin James right tackle for 8 yards (tackle by Marcus R. Spears and Greg Ellis),8,False
200810120crd,crd,dal,ElliGr20,4,13:42,2,1,29,14-14,Edgerrin James right tackle for 8 yards (tackle by Marcus R. Spears and Greg Ellis),8,False
200810120crd,crd,dal,FolkNi20,4,,,,15,24-21,"Nick Folk kicks off 50 yards, returned by Sean Morey for 8 yards (tackle by Sam Hurd)",8,False
200810120crd,crd,dal,MoreSe00,4,,,,15,24-21,"Nick Folk kicks off 50 yards, returned by Sean Morey for 8 yards (tackle by Sam Hurd)",8,False
200810120crd,crd,dal,HurdSa00,4,,,,15,24-21,"Nick Folk kicks off 50 yards, returned by Sean Morey for 8 yards (tackle by Sam Hurd)",8,False
200810120crd,crd,dal,HighTi00,4,6:05,1,10,47,21-14,Tim Hightower up the middle for 7 yards (tackle by Zach Thomas and Keith Davis),7,False
200810120crd,crd,dal,ThomZa01,4,6:05,1,10,47,21-14,Tim Hightower up the middle for 7 yards (tackle by Zach Thomas and Keith Davis),7,False
200810120crd,crd,dal,DaviKe21,4,6:05,1,10,47,21-14,Tim Hightower up the middle for 7 yards (tackle by Zach Thomas and Keith Davis),7,False
200810120crd,crd,dal,WarnKu00,2,5:51,3,9,40,7-0,Kurt Warner pass complete short middle to Leonard Pope for 6 yards (tackle by Kevin Burnett),6,False
200810120crd,crd,dal,PopeLe00,2,5:51,3,9,40,7-0,Kurt Warner pass complete short middle to Leonard Pope for 6 yards (tackle by Kevin Burnett),6,False
200810120crd,crd,dal,BurnKe20,2,5:51,3,9,40,7-0,Kurt Warner pass complete short middle to Leonard Pope for 6 yards (tackle by Kevin Burnett),6,False
200810120crd,crd,dal,WarnKu00,4,12:18,2,7,18,14-14,Kurt Warner pass complete short middle to Leonard Pope for 6 yards (tackle by Ken Hamlin),6,False
200810120crd,crd,dal,PopeLe00,4,12:18,2,7,18,14-14,Kurt Warner pass complete short middle to Leonard Pope for 6 yards (tackle by Ken Hamlin),6,False
200810120crd,crd,dal,HamlKe20,4,12:18,2,7,18,14-14,Kurt Warner pass complete short middle to Leonard Pope for 6 yards (tackle by Ken Hamlin),6,False
200810120crd,crd,dal,WarnKu00,3,5:18,1,10,14,7-14,Kurt Warner pass complete short right to Tim Hightower for 5 yards (tackle by Zach Thomas),5,False
