team,opp,opp_pts,opp_pass_yards,opp_rush_yards,def_align,after_bye,dline_pass,dline_rush,opp_oline_pass,opp_oline_rush,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,def_pass_rank,def_rush_rank,opp_pass_rank,opp_rush_rank,sacks,forced_fumbles,interceptions,tds,tackles,time_onfield
crd,dal,24,301,73,4-3,False,24,17,13,18,16:15,Sunday,retractable roof (closed),grass,,,,,26,13,9,21,4.0,3,1,0,88,33.25
atl,chi,20,282,79,4-3,False,10,19,11,24,13:02,Sunday,dome,fieldturf,,,,,17,25,21,24,1.0,1,0,0,98,29.166666666666668
rav,clt,31,258,76,3-4,False,15,1,1,23,13:02,Sunday,retractable roof (open),fieldturf,,,,,2,1,5,31,6.0,4,3,0,100,32.06666666666667
car,tam,27,173,142,4-3,False,5,24,18,21,13:02,Sunday,outdoors,grass,84,86,,0,8,24,11,15,0.0,0,3,0,86,34.7
chi,atl,22,301,75,4-3,False,27,2,5,9,13:02,Sunday,dome,fieldturf,,,,,9,5,14,2,1.0,1,0,0,98,30.833333333333332
cin,nyj,26,166,86,4-3,False,31,12,19,2,13:02,Sunday,outdoors,fieldturf,67,66,,0,19,8,16,9,7.0,3,2,1,97,35.3
cle,nyg,14,192,181,3-4,True,30,31,10,4,20:41,Monday,outdoors,grass,71,87,,0,16,23,18,1,1.0,0,3,1,85,27.583333333333332
dal,crd,30,226,50,3-4,False,1,14,8,30,16:15,Sunday,retractable roof (closed),grass,,,,,11,14,2,32,4.0,3,1,0,88,27.75
den,jax,24,261,155,4-3,False,19,23,24,12,16:05,Sunday,outdoors,grass,43,76,6,,31,29,15,18,2.0,5,1,0,90,33.583333333333336
det,min,12,257,135,4-3,False,11,29,28,17,13:05,Sunday,dome,fieldturf,,,,,32,31,25,5,11.0,4,1,0,89,32.53333333333333
gnb,sea,17,64,113,4-3,False,21,28,22,27,16:16,Sunday,outdoors,fieldturf,56,52,,0,7,27,29,19,5.0,2,2,0,92,22.566666666666666
htx,mia,28,274,96,4-3,False,23,30,12,11,13:02,Sunday,retractable roof (open),grass,,,,,25,30,10,11,3.0,3,3,0,87,27.716666666666665
clt,rav,3,209,51,4-3,False,22,21,20,16,13:02,Sunday,retractable roof (open),fieldturf,,,,,12,18,28,4,6.0,4,3,0,100,27.933333333333334
jax,den,17,192,131,4-3,False,14,9,4,1,16:05,Sunday,outdoors,grass,43,76,6,,29,9,3,12,2.0,5,1,0,90,26.416666666666668
sdg,nwe,10,193,106,3-4,False,20,25,26,3,20:20,Sunday,outdoors,grass,69,37,,0,20,20,12,6,4.0,2,1,0,95,31.566666666666666
ram,was,17,187,181,4-3,True,16,32,15,6,13:03,Sunday,outdoors,grass,72,46,,0,27,32,23,8,6.0,4,0,1,94,31.0
mia,htx,29,371,114,3-4,False,13,13,16,10,13:02,Sunday,retractable roof (open),grass,,,,,15,19,4,13,3.0,3,3,0,87,32.28333333333333
min,det,10,112,100,4-3,False,2,4,32,31,13:05,Sunday,dome,fieldturf,,,,,5,4,24,30,11.0,4,1,0,89,27.466666666666665
nwe,sdg,30,306,98,3-4,False,17,16,17,15,20:20,Sunday,outdoors,grass,69,37,,0,24,11,7,20,4.0,2,1,0,95,28.433333333333334
nor,rai,3,141,85,4-3,False,25,22,30,25,13:02,Sunday,dome,fieldturf,,,,,23,22,32,10,4.0,1,1,0,94,23.8
nyg,cle,35,310,144,4-3,False,8,3,7,22,20:41,Monday,outdoors,grass,71,87,,0,10,12,31,26,1.0,0,3,1,85,32.416666666666664
nyj,cin,14,128,43,3-4,True,12,10,27,32,13:02,Sunday,outdoors,fieldturf,67,66,,0,18,7,30,29,7.0,3,2,1,97,24.7
rai,nor,34,319,122,4-3,True,6,27,2,5,13:02,Sunday,dome,fieldturf,,,,,13,28,1,28,4.0,1,1,0,94,36.2
phi,sfo,26,175,131,4-3,False,4,5,31,8,16:15,Sunday,outdoors,grass,64,24,,0,3,3,13,27,3.0,1,3,1,72,33.31666666666667
sfo,phi,40,280,103,3-4,False,26,11,6,13,16:15,Sunday,outdoors,grass,64,24,,0,21,16,6,22,3.0,1,3,1,72,26.683333333333334
sea,gnb,27,200,113,4-3,False,18,18,14,19,16:16,Sunday,outdoors,fieldturf,56,52,,0,30,17,8,17,5.0,2,2,0,92,37.43333333333333
tam,car,3,242,40,4-3,False,7,15,9,7,13:02,Sunday,outdoors,grass,84,86,,0,6,15,19,3,0.0,0,3,0,86,25.3
was,ram,19,124,76,4-3,False,29,20,23,29,13:03,Sunday,outdoors,grass,72,46,,0,14,10,26,25,6.0,4,0,1,94,29.0
