player_id,player,fant_pts,position,height,weight,rookie,team,opp,home,opp_def_align,after_bye,oline_rush,oline_pass,opp_dline_rush,opp_dline_pass,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,off_pass_rank,off_rush_rank,opp_def_pass_rank,opp_def_rush_rank,rush_att,rush_yards,rush_tds,completions,attempts,accuracy,interceptions,fumbles,pass_yards,pass_tds,sacked,qbr
WarnKu00,Kurt Warner,15.8,QB,74,220,False,crd,dal,True,3-4,False,30,8,14,1,16:15,Sunday,retractable roof (closed),grass,,,,,2,32,11,14,2,-1,0,22,30,73.33333333333333,1,1,236,2,1,104.3
RyanMa00,Matt Ryan,19.1,QB,76,217,True,atl,chi,True,4-3,False,9,5,2,27,13:02,Sunday,dome,fieldturf,,,,,14,2,9,5,1,1,0,22,30,73.33333333333333,0,0,301,1,0,116.1
FlacJo00,Joe Flacco,6.8,QB,78,232,True,rav,clt,False,4-3,False,16,20,21,22,13:02,Sunday,retractable roof (open),fieldturf,,,,,28,4,12,18,3,12,0,28,38,73.68421052631578,3,2,241,0,4,57.0
DelhJa00,Jake Delhomme,6.6,QB,74,215,False,car,tam,False,4-3,False,7,9,15,7,13:02,Sunday,outdoors,grass,84,86,,0,19,3,6,15,1,-1,0,20,39,51.28205128205128,3,0,242,0,0,38.6
OrtoKy00,Kyle Orton,15.4,QB,76,226,False,chi,atl,False,4-3,False,24,11,19,10,13:02,Sunday,dome,fieldturf,,,,,21,24,17,25,0,0,0,26,43,60.46511627906976,0,0,286,1,1,87.9
FitzRy00,Ryan Fitzpatrick,14.1,QB,74,221,False,cin,nyj,False,3-4,False,32,27,10,12,13:02,Sunday,outdoors,fieldturf,67,66,,0,30,29,18,7,6,23,1,20,33,60.60606060606061,0,2,152,0,5,71.8
AndeDe00,Derek Anderson,24.7,QB,78,229,False,cle,nyg,True,4-3,True,22,7,3,8,20:41,Monday,outdoors,grass,71,87,,0,31,26,10,12,4,-2,0,18,29,62.06896551724138,0,1,310,2,0,121.3
RomoTo00,Tony Romo,26.3,QB,74,219,False,dal,crd,False,4-3,False,18,13,17,24,16:15,Sunday,retractable roof (closed),grass,,,,,9,21,26,13,1,0,0,24,38,63.1578947368421,0,3,321,3,3,116.2
CutlJa00,Jay Cutler,16.4,QB,75,225,False,den,jax,True,4-3,False,1,4,9,14,16:05,Sunday,outdoors,grass,43,76,6,,3,12,29,9,3,22,0,21,37,56.75675675675676,1,1,192,2,0,77.8
OrloDa00,Dan Orlovsky,9.5,QB,77,230,False,det,min,False,4-3,False,31,32,4,2,13:05,Sunday,dome,fieldturf,,,,,24,30,5,4,1,0,0,12,21,57.14285714285714,0,1,150,1,6,95.3
RodgAa00,Aaron Rodgers,24.1,QB,74,223,False,gnb,sea,False,4-3,False,19,14,18,18,16:16,Sunday,outdoors,fieldturf,56,52,,0,8,17,30,17,6,23,1,21,30,70.0,0,1,208,2,2,111.5
SchaMa00,Matt Schaub,27.7,QB,77,235,False,htx,mia,True,3-4,False,10,16,13,13,13:02,Sunday,retractable roof (open),grass,,,,,4,13,15,19,4,15,1,22,42,52.38095238095239,2,0,379,1,1,71.4
MannPe00,Peyton Manning,22.6,QB,77,230,False,clt,rav,True,3-4,False,23,1,1,15,13:02,Sunday,retractable roof (open),fieldturf,,,,,5,31,2,1,2,-2,0,19,28,67.85714285714286,0,0,271,3,2,134.7
GarrDa00,David Garrard,15.2,QB,73,244,False,jax,den,False,4-3,False,12,24,23,19,16:05,Sunday,outdoors,grass,43,76,6,,15,18,31,29,8,7,0,25,34,73.52941176470588,0,1,276,1,2,107.0
RivePh00,Philip Rivers,27.2,QB,77,228,False,sdg,nwe,True,3-4,False,15,17,16,17,20:20,Sunday,outdoors,grass,69,37,,0,7,20,24,11,0,0,0,18,27,66.66666666666666,0,0,306,3,0,141.9
BulgMa00,Marc Bulger,5.3,QB,75,215,False,ram,was,False,4-3,True,29,23,20,29,13:03,Sunday,outdoors,grass,72,46,,0,26,25,14,10,1,-1,0,15,26,57.692307692307686,0,0,136,0,2,72.0
PennCh01,Chad Pennington,17.9,QB,75,225,False,mia,htx,False,4-3,False,11,12,30,23,13:02,Sunday,retractable roof (open),grass,,,,,10,11,25,30,0,0,0,19,25,76.0,1,1,284,2,2,122.7
FrerGu00,Gus Frerotte,14.3,QB,75,237,False,min,det,True,4-3,False,17,28,29,11,13:05,Sunday,dome,fieldturf,,,,,25,5,32,31,0,0,0,18,33,54.54545454545454,1,1,296,1,5,82.4
CassMa00,Matt Cassel,9.5,QB,77,230,False,nwe,sdg,False,3-4,False,3,26,25,20,20:20,Sunday,outdoors,grass,69,37,,0,12,6,20,20,7,29,0,22,38,57.89473684210527,1,1,203,0,4,61.6
BreeDr00,Drew Brees,28.5,QB,72,209,False,nor,rai,True,4-3,False,5,2,27,6,13:02,Sunday,dome,fieldturf,,,,,1,28,13,28,1,7,0,26,30,86.66666666666667,0,0,320,3,1,144.4
MannEl00,Eli Manning,10.1,QB,76,218,False,nyg,cle,False,3-4,False,4,10,31,30,20:41,Monday,outdoors,grass,71,87,,0,18,1,16,23,1,13,0,18,28,64.28571428571429,3,0,196,1,1,57.1
FavrBr00,Brett Favre,9.0,QB,74,225,False,nyj,cin,True,4-3,True,2,19,12,31,13:02,Sunday,outdoors,fieldturf,67,66,,0,16,9,19,8,1,-1,0,25,33,75.75757575757575,2,1,189,1,2,73.9
RussJa00,JaMarcus Russell,6.0,QB,78,265,False,rai,nor,False,4-3,True,25,30,22,25,13:02,Sunday,dome,fieldturf,,,,,32,10,23,22,1,11,0,13,35,37.142857142857146,1,1,159,0,2,40.1
McNaDo00,Donovan McNabb,18.6,QB,74,240,False,phi,sfo,False,3-4,False,13,6,11,26,16:15,Sunday,outdoors,grass,64,24,,0,6,22,21,16,1,4,0,23,36,63.888888888888886,1,0,280,2,0,94.7
OSulJ.00,J.T. O'Sullivan,8.6,QB,74,220,False,sfo,phi,True,4-3,False,8,31,5,4,16:15,Sunday,outdoors,grass,64,24,,0,13,27,3,3,3,31,0,17,30,56.666666666666664,2,1,199,0,3,49.2
FryeCh00,Charlie Frye,12.3,QB,76,217,False,sea,gnb,True,4-3,False,27,22,28,21,16:16,Sunday,outdoors,fieldturf,56,52,,0,29,19,7,27,2,30,0,12,23,52.17391304347826,2,0,83,2,3,53.4
GarcJe00,Jeff Garcia,11.0,QB,73,195,False,tam,car,True,4-3,False,21,18,24,5,13:02,Sunday,outdoors,grass,84,86,,0,11,15,8,24,3,6,0,15,20,75.0,0,1,173,1,0,117.3
CampJa00,Jason Campbell,9.7,QB,77,223,False,was,ram,True,4-3,False,6,15,32,16,13:03,Sunday,outdoors,grass,72,46,,0,23,8,27,32,2,19,0,18,26,69.23076923076923,0,1,208,0,4,93.1
