player_id,player,fant_pts,position,height,weight,rookie,team,opp,home,opp_def_align,after_bye,oline_rush,oline_pass,opp_dline_rush,opp_dline_pass,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,off_pass_rank,off_rush_rank,opp_def_pass_rank,opp_def_rush_rank,rush_att,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles
ArriJ.00,J.J. Arrington,8.2,RB,69,214,False,crd,dal,True,3-4,False,30,8,14,1,16:15,Sunday,retractable roof (closed),grass,,,,,2,32,11,14,1,2,0,1,1,10,0,0
BreaSt00,Steve Breaston,27.2,WR,73,175,False,crd,dal,True,3-4,False,30,8,14,1,16:15,Sunday,retractable roof (closed),grass,,,,,2,32,11,14,0,0,0,9,8,102,1,0
FitzLa00,Larry Fitzgerald,18.9,WR,75,225,False,crd,dal,True,3-4,False,30,8,14,1,16:15,Sunday,retractable roof (closed),grass,,,,,2,32,11,14,0,0,0,7,5,79,1,0
HighTi00,Tim Hightower,8.9,RB,72,226,True,crd,dal,True,3-4,False,30,8,14,1,16:15,Sunday,retractable roof (closed),grass,,,,,2,32,11,14,7,20,0,5,4,29,0,0
JameEd00,Edgerrin James,2.9,RB,72,214,False,crd,dal,True,3-4,False,30,8,14,1,16:15,Sunday,retractable roof (closed),grass,,,,,2,32,11,14,9,29,0,1,0,0,0,0
PopeLe00,Leonard Pope,3.2,TE,80,264,False,crd,dal,True,3-4,False,30,8,14,1,16:15,Sunday,retractable roof (closed),grass,,,,,2,32,11,14,0,0,0,3,2,12,0,0
UrbaJe00,Jerheme Urban,1.1,WR,75,212,False,crd,dal,True,3-4,False,30,8,14,1,16:15,Sunday,retractable roof (closed),grass,,,,,2,32,11,14,0,0,0,3,1,1,0,0
JenkMi00,Michael Jenkins,9.8,WR,76,217,False,atl,chi,True,4-3,False,9,5,2,27,13:02,Sunday,dome,fieldturf,,,,,14,2,9,5,0,0,0,5,4,58,0,0
TurnMi00,Michael Turner,5.4,RB,70,237,False,atl,chi,True,4-3,False,9,5,2,27,13:02,Sunday,dome,fieldturf,,,,,14,2,9,5,25,54,0,0,0,0,0,0
WhitRo00,Roddy White,29.2,WR,73,201,False,atl,chi,True,4-3,False,9,5,2,27,13:02,Sunday,dome,fieldturf,,,,,14,2,9,5,0,0,0,13,9,112,1,0
ClayMa01,Mark Clayton,4.3,WR,70,193,False,rav,clt,False,4-3,False,16,20,21,22,13:02,Sunday,retractable roof (open),fieldturf,,,,,28,4,12,18,0,0,0,6,3,13,0,0
HeapTo00,Todd Heap,2.3,TE,77,252,False,rav,clt,False,4-3,False,16,20,21,22,13:02,Sunday,retractable roof (open),fieldturf,,,,,28,4,12,18,0,0,0,3,1,13,0,0
MasoDe00,Derrick Mason,12.5,WR,70,190,False,rav,clt,False,4-3,False,16,20,21,22,13:02,Sunday,retractable roof (open),fieldturf,,,,,28,4,12,18,0,0,0,7,6,70,0,1
McGaWi00,Willis McGahee,8.4,RB,72,228,False,rav,clt,False,4-3,False,16,20,21,22,13:02,Sunday,retractable roof (open),fieldturf,,,,,28,4,12,18,8,18,0,4,4,26,0,0
RiceRa00,Ray Rice,15.7,RB,69,195,True,rav,clt,False,4-3,False,16,20,21,22,13:02,Sunday,retractable roof (open),fieldturf,,,,,28,4,12,18,6,23,0,8,7,64,0,0
JarrDw00,Dwayne Jarrett,1.4,WR,76,219,False,car,tam,False,4-3,False,7,9,15,7,13:02,Sunday,outdoors,grass,84,86,,0,19,3,6,15,0,0,0,3,1,4,0,0
KingJe00,Jeff King,1.3,TE,77,250,False,car,tam,False,4-3,False,7,9,15,7,13:02,Sunday,outdoors,grass,84,86,,0,19,3,6,15,0,0,0,2,1,3,0,0
MuhaMu00,Muhsin Muhammad,10.8,WR,74,217,False,car,tam,False,4-3,False,7,9,15,7,13:02,Sunday,outdoors,grass,84,86,,0,19,3,6,15,0,0,0,7,4,68,0,0
RosaDa00,Dante Rosario,5.8,TE,75,244,False,car,tam,False,4-3,False,7,9,15,7,13:02,Sunday,outdoors,grass,84,86,,0,19,3,6,15,0,0,0,6,3,28,0,0
SmitSt01,Steve Smith,20.2,WR,69,185,False,car,tam,False,4-3,False,7,9,15,7,13:02,Sunday,outdoors,grass,84,86,,0,19,3,6,15,0,0,0,10,6,112,0,0
WillDe02,DeAngelo Williams,5.5,RB,68,210,False,car,tam,False,4-3,False,7,9,15,7,13:02,Sunday,outdoors,grass,84,86,,0,19,3,6,15,11,27,0,2,2,8,0,0
BookMa00,Marty Booker,6.3,WR,72,212,False,chi,atl,False,4-3,False,24,11,19,10,13:02,Sunday,dome,fieldturf,,,,,21,24,17,25,0,0,0,6,3,33,0,0
ClarDe00,Desmond Clark,10.0,TE,75,255,False,chi,atl,False,4-3,False,24,11,19,10,13:02,Sunday,dome,fieldturf,,,,,21,24,17,25,0,0,0,7,5,50,0,0
DaviRa00,Rashied Davis,14.1,WR,70,180,False,chi,atl,False,4-3,False,24,11,19,10,13:02,Sunday,dome,fieldturf,,,,,21,24,17,25,0,0,0,6,4,41,1,0
FortMa00,Matt Forte,22.0,RB,73,221,True,chi,atl,False,4-3,False,24,11,19,10,13:02,Sunday,dome,fieldturf,,,,,21,24,17,25,20,76,1,5,5,34,0,0
HestDe99,Devin Hester,14.7,WR,70,185,False,chi,atl,False,4-3,False,24,11,19,10,13:02,Sunday,dome,fieldturf,,,,,21,24,17,25,0,0,0,10,6,87,0,0
OlseGr00,Greg Olsen,7.1,TE,78,254,False,chi,atl,False,4-3,False,24,11,19,10,13:02,Sunday,dome,fieldturf,,,,,21,24,17,25,0,0,0,8,3,41,0,0
BensCe00,Cedric Benson,0.6,RB,71,222,False,cin,nyj,False,3-4,False,32,27,10,12,13:02,Sunday,outdoors,fieldturf,67,66,,0,30,29,18,7,4,6,0,1,0,0,0,0
HenrCh00,Chris Henry,2.3,WR,76,197,False,cin,nyj,False,3-4,False,32,27,10,12,13:02,Sunday,outdoors,fieldturf,67,66,,0,30,29,18,7,0,0,0,4,1,13,0,0
HousTJ00,T.J. Houshmandzadeh,11.9,WR,73,197,False,cin,nyj,False,3-4,False,32,27,10,12,13:02,Sunday,outdoors,fieldturf,67,66,,0,30,29,18,7,0,0,0,8,7,49,0,0
JohnCh01,Chad Johnson,10.7,WR,73,192,False,cin,nyj,False,3-4,False,32,27,10,12,13:02,Sunday,outdoors,fieldturf,67,66,,0,30,29,18,7,0,0,0,6,5,57,0,0
PerrCh00,Chris Perry,3.6,RB,72,224,False,cin,nyj,False,3-4,False,32,27,10,12,13:02,Sunday,outdoors,fieldturf,67,66,,0,30,29,18,7,11,14,0,7,2,2,0,0
UtecBe00,Ben Utecht,7.4,TE,78,251,False,cin,nyj,False,3-4,False,32,27,10,12,13:02,Sunday,outdoors,fieldturf,67,66,,0,30,29,18,7,0,0,0,6,4,34,0,0
CribJo01,Josh Cribbs,1.2,WR,73,192,False,cle,nyg,True,4-3,True,22,7,3,8,20:41,Monday,outdoors,grass,71,87,,0,31,26,10,12,1,12,0,0,0,0,0,0
DinkDa00,Darnell Dinkins,9.2,TE,75,255,False,cle,nyg,True,4-3,True,22,7,3,8,20:41,Monday,outdoors,grass,71,87,,0,31,26,10,12,0,0,0,3,1,22,1,0
EdwaBr00,Braylon Edwards,31.4,WR,75,211,False,cle,nyg,True,4-3,True,22,7,3,8,20:41,Monday,outdoors,grass,71,87,,0,31,26,10,12,0,0,0,6,5,154,1,0
HeidSt00,Steve Heiden,10.9,TE,77,265,False,cle,nyg,True,4-3,True,22,7,3,8,20:41,Monday,outdoors,grass,71,87,,0,31,26,10,12,0,0,0,7,5,59,0,0
LewiJa00,Jamal Lewis,16.2,RB,71,240,False,cle,nyg,True,4-3,True,22,7,3,8,20:41,Monday,outdoors,grass,71,87,,0,31,26,10,12,21,88,1,1,1,4,0,0
StalDo00,Donte' Stallworth,3.9,WR,72,197,False,cle,nyg,True,4-3,True,22,7,3,8,20:41,Monday,outdoors,grass,71,87,,0,31,26,10,12,0,0,0,7,2,19,0,0
StepSy20,Syndric Steptoe,3.0,WR,68,190,True,cle,nyg,True,4-3,True,22,7,3,8,20:41,Monday,outdoors,grass,71,87,,0,31,26,10,12,0,0,0,2,1,20,0,0
BarbMa01,Marion Barber,36.8,RB,71,221,False,dal,crd,False,4-3,False,18,13,17,24,16:15,Sunday,retractable roof (closed),grass,,,,,9,21,26,13,17,45,0,12,11,128,1,1
