game_id,team,opp,player_id,quarter,time,down,togo,location,score,detail,yards,touchdown
200809140crd,crd,mia,WarnKu00,1,12:31,1,20,71,6-0,"Kurt Warner pass complete deep middle to Anquan Boldin for 79 yards, touchdown",79,True
200809140crd,crd,mia,BoldAn00,1,12:31,1,20,71,6-0,"Kurt Warner pass complete deep middle to Anquan Boldin for 79 yards, touchdown",79,True
200809140crd,crd,mia,WarnKu00,1,7:42,2,9,71,7-0,Kurt Warner pass complete deep right to Larry Fitzgerald for 75 yards (tackle by Will Allen),75,False
200809140crd,crd,mia,FitzLa00,1,7:42,2,9,71,7-0,Kurt Warner pass complete deep right to Larry Fitzgerald for 75 yards (tackle by Will Allen),75,False
200809140crd,crd,mia,AlleWi20,1,7:42,2,9,71,7-0,Kurt Warner pass complete deep right to Larry Fitzgerald for 75 yards (tackle by Will Allen),75,False
200809140crd,crd,mia,rackenei01,2,8:51,4,9,27,17-0,Neil Rackers 45 yard field goal good,45,False
200809140crd,crd,mia,WarnKu00,3,3:03,3,7,88,24-3,Kurt Warner pass complete short left to Larry Fitzgerald for 31 yards (tackle by Jason Allen),31,False
200809140crd,crd,mia,FitzLa00,3,3:03,3,7,88,24-3,Kurt Warner pass complete short left to Larry Fitzgerald for 31 yards (tackle by Jason Allen),31,False
200809140crd,crd,mia,AlleJa23,3,3:03,3,7,88,24-3,Kurt Warner pass complete short left to Larry Fitzgerald for 31 yards (tackle by Jason Allen),31,False
200809140crd,crd,mia,CarpDa44,3,,,,30,17-0,"Dan Carpenter kicks off 68 yards, returned by Steve Breaston for 27 yards (tackle by Dan Carpenter)",27,False
200809140crd,crd,mia,BreaSt00,3,,,,30,17-0,"Dan Carpenter kicks off 68 yards, returned by Steve Breaston for 27 yards (tackle by Dan Carpenter)",27,False
200809140crd,crd,mia,CarpDa44,3,,,,30,17-0,"Dan Carpenter kicks off 68 yards, returned by Steve Breaston for 27 yards (tackle by Dan Carpenter)",27,False
200809140crd,crd,mia,WarnKu00,3,14:13,2,2,87,17-0,Kurt Warner pass complete deep right to Anquan Boldin for 27 yards (tackle by Chris Crocker),27,False
200809140crd,crd,mia,BoldAn00,3,14:13,2,2,87,17-0,Kurt Warner pass complete deep right to Anquan Boldin for 27 yards (tackle by Chris Crocker),27,False
200809140crd,crd,mia,CrocCh20,3,14:13,2,2,87,17-0,Kurt Warner pass complete deep right to Anquan Boldin for 27 yards (tackle by Chris Crocker),27,False
200809140crd,crd,mia,WarnKu00,1,0:28,1,10,63,14-0,Kurt Warner pass complete short left to Tim Hightower for 20 yards (tackle by Yeremiah Bell),20,False
200809140crd,crd,mia,HighTi00,1,0:28,1,10,63,14-0,Kurt Warner pass complete short left to Tim Hightower for 20 yards (tackle by Yeremiah Bell),20,False
200809140crd,crd,mia,BellYe20,1,0:28,1,10,63,14-0,Kurt Warner pass complete short left to Tim Hightower for 20 yards (tackle by Yeremiah Bell),20,False
200809140crd,crd,mia,WarnKu00,3,2:31,1,10,31,24-3,"Kurt Warner pass complete short left to Larry Fitzgerald for 20 yards (tackle by Michael Lehan). Penalty on Jason Ferguson: Defensive Offside (Declined), Penalty on MIA: Defensive 12 On-field (Declined)",20,False
200809140crd,crd,mia,FitzLa00,3,2:31,1,10,31,24-3,"Kurt Warner pass complete short left to Larry Fitzgerald for 20 yards (tackle by Michael Lehan). Penalty on Jason Ferguson: Defensive Offside (Declined), Penalty on MIA: Defensive 12 On-field (Declined)",20,False
200809140crd,crd,mia,LehaMi20,3,2:31,1,10,31,24-3,"Kurt Warner pass complete short left to Larry Fitzgerald for 20 yards (tackle by Michael Lehan). Penalty on Jason Ferguson: Defensive Offside (Declined), Penalty on MIA: Defensive 12 On-field (Declined)",20,False
200809140crd,crd,mia,FergJa21,3,2:31,1,10,31,24-3,"Kurt Warner pass complete short left to Larry Fitzgerald for 20 yards (tackle by Michael Lehan). Penalty on Jason Ferguson: Defensive Offside (Declined), Penalty on MIA: Defensive 12 On-field (Declined)",20,False
200809140crd,crd,mia,WarnKu00,2,2:00,1,10,81,17-0,Kurt Warner pass complete deep right to Steve Breaston for 18 yards (tackle by Will Allen),18,False
200809140crd,crd,mia,BreaSt00,2,2:00,1,10,81,17-0,Kurt Warner pass complete deep right to Steve Breaston for 18 yards (tackle by Will Allen),18,False
200809140crd,crd,mia,AlleWi20,2,2:00,1,10,81,17-0,Kurt Warner pass complete deep right to Steve Breaston for 18 yards (tackle by Will Allen),18,False
200809140crd,crd,mia,WarnKu00,3,4:57,2,11,69,24-3,Kurt Warner pass complete short middle to Anquan Boldin for 16 yards (tackle by Phillip Merling). Penalty on Reggie Torbor: Illegal Contact (Declined),16,False
