team,opp,opp_pts,opp_pass_yards,opp_rush_yards,def_align,after_bye,dline_pass,dline_rush,opp_oline_pass,opp_oline_rush,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,def_pass_rank,def_rush_rank,opp_pass_rank,opp_rush_rank,sacks,forced_fumbles,interceptions,tds,tackles,time_onfield
crd,mia,10,164,72,4-3,False,24,17,12,11,16:15,Sunday,retractable roof (closed),grass,,,,,26,13,10,11,4.0,2,0,0,91,28.1
atl,tam,24,147,164,4-3,False,10,19,18,21,16:05,Sunday,outdoors,grass,89,55,,0,17,25,11,15,6.0,2,2,0,83,30.366666666666667
buf,jax,16,145,98,4-3,False,28,8,24,12,13:03,Sunday,outdoors,grass,87,60,,0,22,21,15,18,5.0,1,1,0,84,28.766666666666666
car,chi,17,141,115,4-3,False,5,24,11,24,13:03,Sunday,outdoors,grass,88,78,,0,8,24,21,24,4.0,2,1,0,85,28.25
chi,car,20,102,114,4-3,False,27,2,9,7,13:03,Sunday,outdoors,grass,88,78,,0,9,5,19,3,4.0,2,1,0,85,31.75
cin,oti,24,118,177,4-3,False,31,12,3,20,13:02,Sunday,outdoors,fieldturf,88,51,,0,19,8,27,7,2.0,4,2,0,75,32.56666666666667
cle,pit,10,164,117,3-4,False,30,31,29,26,20:23,Sunday,outdoors,grass,80,69,,0,16,23,17,23,4.0,0,2,0,89,29.716666666666665
dal,phi,37,259,78,3-4,False,1,14,6,13,20:40,Monday,outdoors,fieldturf,76,26,,0,11,14,6,22,4.0,2,1,1,73,30.533333333333335
den,sdg,38,376,80,4-3,False,19,23,17,15,16:15,Sunday,outdoors,grass,59,56,,0,31,29,7,20,1.0,2,2,0,86,26.0
det,gnb,48,324,123,4-3,False,11,29,14,19,13:03,Sunday,dome,fieldturf,,,,,32,31,8,17,6.0,1,3,2,68,35.46666666666667
gnb,det,25,262,49,4-3,False,21,28,32,31,13:03,Sunday,dome,fieldturf,,,,,7,27,24,30,6.0,1,3,2,68,24.533333333333335
clt,min,15,120,179,4-3,False,22,21,28,17,13:05,Sunday,dome,fieldturf,,,,,12,18,25,5,4.0,1,2,0,84,32.56666666666667
jax,buf,20,210,75,4-3,False,14,9,25,14,13:03,Sunday,outdoors,grass,87,60,,0,29,9,22,14,5.0,1,1,0,84,31.233333333333334
kan,rai,23,55,300,4-3,False,32,26,30,25,13:00,Sunday,outdoors,grass,61,63,,0,28,26,32,10,5.0,4,2,0,94,32.516666666666666
sdg,den,39,341,145,3-4,False,20,25,4,1,16:15,Sunday,outdoors,grass,59,56,,0,20,20,3,12,1.0,2,2,0,86,34.0
ram,nyg,41,241,200,4-3,False,16,32,10,4,13:00,Sunday,dome,fieldturf,,,,,27,32,18,1,8.0,1,1,1,87,31.7
mia,crd,31,364,81,3-4,False,13,13,8,30,16:15,Sunday,retractable roof (closed),grass,,,,,15,19,2,32,4.0,2,0,0,91,31.9
min,clt,18,296,25,4-3,False,2,4,1,23,13:05,Sunday,dome,fieldturf,,,,,5,4,5,31,4.0,1,2,0,84,27.433333333333334
nwe,nyj,10,152,104,3-4,False,17,16,19,2,16:15,Sunday,outdoors,fieldturf,90,54,,0,24,11,16,9,6.0,0,1,0,91,28.416666666666668
nor,was,29,306,149,4-3,False,25,22,15,6,13:03,Sunday,outdoors,grass,90,55,,0,23,22,23,8,4.0,2,2,0,88,34.233333333333334
nyg,ram,13,133,68,4-3,False,8,3,23,29,13:00,Sunday,dome,fieldturf,,,,,10,12,26,25,8.0,1,1,1,87,28.3
nyj,nwe,19,156,104,3-4,False,12,10,26,3,16:15,Sunday,outdoors,fieldturf,90,54,,0,18,7,12,6,6.0,0,1,0,91,31.583333333333332
rai,kan,8,135,55,4-3,False,6,27,21,28,13:00,Sunday,outdoors,grass,61,63,,0,13,28,20,16,5.0,4,2,0,94,27.483333333333334
phi,dal,41,312,68,4-3,False,4,5,13,18,20:40,Monday,outdoors,fieldturf,76,26,,0,3,3,9,21,4.0,2,1,1,73,29.466666666666665
pit,cle,6,155,53,3-4,False,3,7,7,22,20:23,Sunday,outdoors,grass,80,69,,0,1,2,31,26,4.0,0,2,0,89,30.283333333333335
sfo,sea,30,182,169,3-4,False,26,11,22,27,16:06,Sunday,outdoors,fieldturf,67,63,,0,21,16,29,19,9.0,3,2,2,103,30.2
sea,sfo,33,272,93,4-3,False,18,18,31,8,16:06,Sunday,outdoors,fieldturf,67,63,,0,30,17,13,27,9.0,3,2,2,103,34.46666666666667
tam,atl,9,129,105,4-3,False,7,15,5,9,16:05,Sunday,outdoors,grass,89,55,,0,6,15,14,2,6.0,2,2,0,83,29.633333333333333
oti,cin,7,127,88,4-3,False,9,6,27,32,13:02,Sunday,outdoors,fieldturf,88,51,,0,4,6,30,29,2.0,4,2,0,75,27.433333333333334
was,nor,24,195,55,4-3,False,29,20,2,5,13:03,Sunday,outdoors,grass,90,55,,0,14,10,1,28,4.0,2,2,0,88,25.766666666666666
