team,opp,opp_pts,opp_pass_yards,opp_rush_yards,def_align,after_bye,dline_pass,dline_rush,opp_oline_pass,opp_oline_rush,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,def_pass_rank,def_rush_rank,opp_pass_rank,opp_rush_rank,sacks,forced_fumbles,interceptions,tds,tackles,time_onfield
crd,buf,17,203,84,4-3,False,24,17,25,14,16:16,Sunday,retractable roof (closed),grass,,,,,26,13,22,14,5.0,2,1,0,101,23.733333333333334
atl,gnb,24,304,104,4-3,False,10,19,14,19,13:02,Sunday,outdoors,grass,60,49,,0,17,25,8,17,2.0,1,2,0,93,31.283333333333335
rav,oti,13,163,47,3-4,False,15,1,3,20,13:02,Sunday,outdoors,sportturf,69,52,,0,2,1,27,7,0.0,0,4,0,95,25.533333333333335
buf,crd,41,250,123,4-3,False,28,8,8,30,16:16,Sunday,retractable roof (closed),grass,,,,,22,21,2,32,5.0,2,1,0,101,36.266666666666666
car,kan,0,92,35,4-3,False,5,24,21,28,13:04,Sunday,outdoors,grass,80,77,,0,8,24,20,16,3.0,3,3,0,88,21.1
chi,det,7,131,54,4-3,False,27,2,32,31,13:02,Sunday,dome,fieldturf,,,,,9,5,24,30,5.0,2,1,1,76,21.75
cin,dal,31,175,198,4-3,False,31,12,13,18,16:15,Sunday,outdoors,fieldturf,87,32,,0,19,8,9,21,3.0,3,2,0,85,31.75
dal,cin,22,208,61,3-4,False,1,14,27,32,16:15,Sunday,outdoors,fieldturf,87,32,,0,11,14,30,29,3.0,3,2,0,85,28.25
den,tam,13,168,139,4-3,False,19,23,18,21,16:05,Sunday,outdoors,grass,70,30,,0,31,29,11,15,3.0,1,1,0,91,30.783333333333335
det,chi,34,328,97,4-3,True,11,29,11,24,13:02,Sunday,dome,fieldturf,,,,,32,31,21,24,5.0,2,1,1,76,38.25
gnb,atl,27,194,176,4-3,False,21,28,5,9,13:02,Sunday,outdoors,grass,60,49,,0,7,27,14,2,2.0,1,2,0,93,28.716666666666665
htx,clt,31,235,79,4-3,False,23,30,1,23,13:02,Sunday,retractable roof (open),grass,,,,,25,30,5,31,4.0,3,2,1,99,28.65
clt,htx,27,235,156,4-3,True,22,21,16,10,13:02,Sunday,retractable roof (open),grass,,,,,12,18,4,13,4.0,3,2,1,99,31.35
jax,pit,26,286,129,4-3,False,14,9,29,26,20:23,Sunday,outdoors,grass,73,81,,0,29,9,17,23,6.0,1,1,1,83,33.38333333333333
kan,car,34,236,205,4-3,False,32,26,9,7,13:04,Sunday,outdoors,grass,80,77,,0,28,26,19,3,3.0,3,3,0,88,38.9
sdg,mia,17,223,167,3-4,False,20,25,12,11,13:03,Sunday,outdoors,grass,86,74,,0,20,20,10,11,4.0,0,0,0,87,36.68333333333333
mia,sdg,10,142,60,3-4,True,13,13,17,15,13:03,Sunday,outdoors,grass,86,74,,0,15,19,7,20,4.0,0,0,0,87,23.316666666666666
min,nor,27,320,55,4-3,False,2,4,2,5,20:40,Monday,dome,fieldturf,,,,,5,4,1,28,2.0,4,2,0,97,32.15
nwe,sfo,21,122,77,3-4,True,17,16,31,8,16:15,Sunday,outdoors,grass,67,52,,0,24,11,13,27,6.0,0,5,0,72,20.133333333333333
nor,min,30,226,44,4-3,False,25,22,28,17,20:40,Monday,dome,fieldturf,,,,,23,22,25,5,2.0,4,2,0,97,27.85
nyg,sea,6,113,74,4-3,True,8,3,22,27,13:03,Sunday,outdoors,fieldturf,60,75,,0,10,12,29,19,3.0,1,1,0,88,23.533333333333335
phi,was,23,185,203,4-3,False,4,5,15,6,13:04,Sunday,outdoors,grass,66,68,,0,3,3,23,8,1.0,0,0,0,83,34.75
pit,jax,21,175,38,3-4,False,3,7,24,12,20:23,Sunday,outdoors,grass,73,81,,0,1,2,15,18,6.0,1,1,1,83,26.616666666666667
sfo,nwe,30,233,144,3-4,False,26,11,26,3,16:15,Sunday,outdoors,grass,67,52,,0,21,16,12,6,6.0,0,5,0,72,39.86666666666667
sea,nyg,44,269,254,4-3,True,18,18,10,4,13:03,Sunday,outdoors,fieldturf,60,75,,0,30,17,18,1,3.0,1,1,0,88,36.46666666666667
tam,den,16,227,106,4-3,False,7,15,4,1,16:05,Sunday,outdoors,grass,70,30,,0,6,15,3,12,3.0,1,1,0,91,29.216666666666665
oti,rav,10,153,132,4-3,False,9,6,20,16,13:02,Sunday,outdoors,sportturf,69,52,,0,4,6,28,4,0.0,0,4,0,95,34.46666666666667
was,phi,17,196,58,4-3,False,29,20,6,13,13:04,Sunday,outdoors,grass,66,68,,0,14,10,6,22,1.0,0,0,0,83,25.25
