player_id,player,fant_pts,position,height,weight,rookie,team,opp,home,opp_def_align,after_bye,oline_rush,oline_pass,opp_dline_rush,opp_dline_pass,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,off_pass_rank,off_rush_rank,opp_def_pass_rank,opp_def_rush_rank,rush_att,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles
BoldAn00,Anquan Boldin,30.4,WR,73,218,False,crd,nyj,False,3-4,False,30,8,10,12,13:02,Sunday,outdoors,fieldturf,69,97,,0,2,32,18,7,0,0,0,13,10,119,1,1
BreaSt00,Steve Breaston,24.2,WR,73,175,False,crd,nyj,False,3-4,False,30,8,10,12,13:02,Sunday,outdoors,fieldturf,69,97,,0,2,32,18,7,0,0,0,10,9,122,0,0
FitzLa00,Larry Fitzgerald,23.2,WR,75,225,False,crd,nyj,False,3-4,False,30,8,10,12,13:02,Sunday,outdoors,fieldturf,69,97,,0,2,32,18,7,0,0,0,15,8,122,0,0
HighTi00,Tim Hightower,8.8,RB,72,226,True,crd,nyj,False,3-4,False,30,8,10,12,13:02,Sunday,outdoors,fieldturf,69,97,,0,2,32,18,7,6,13,1,2,1,5,0,0
JameEd00,Edgerrin James,25.6,RB,72,214,False,crd,nyj,False,3-4,False,30,8,10,12,13:02,Sunday,outdoors,fieldturf,69,97,,0,2,32,18,7,9,29,2,6,5,37,0,0
PatrBe00,Ben Patrick,2.1,TE,75,252,False,crd,nyj,False,3-4,False,30,8,10,12,13:02,Sunday,outdoors,fieldturf,69,97,,0,2,32,18,7,0,0,0,2,1,11,0,0
UrbaJe00,Jerheme Urban,16.0,WR,75,212,False,crd,nyj,False,3-4,False,30,8,10,12,13:02,Sunday,outdoors,fieldturf,69,97,,0,2,32,18,7,0,0,0,7,5,50,1,0
HartBe00,Ben Hartsock,1.7,TE,76,264,False,atl,car,False,4-3,False,9,5,24,5,13:04,Sunday,outdoors,grass,78,87,,0,14,2,8,24,0,0,0,1,1,7,0,0
JenkMi00,Michael Jenkins,6.2,WR,76,217,False,atl,car,False,4-3,False,9,5,24,5,13:04,Sunday,outdoors,grass,78,87,,0,14,2,8,24,0,0,0,5,3,32,0,0
TurnMi00,Michael Turner,6.5,RB,70,237,False,atl,car,False,4-3,False,9,5,24,5,13:04,Sunday,outdoors,grass,78,87,,0,14,2,8,24,18,56,0,3,1,-1,0,0
WhitRo00,Roddy White,16.0,WR,73,201,False,atl,car,False,4-3,False,9,5,24,5,13:04,Sunday,outdoors,grass,78,87,,0,14,2,8,24,0,0,0,16,7,90,0,0
ClayMa01,Mark Clayton,-0.1,WR,70,193,False,rav,pit,False,3-4,False,16,20,7,3,20:40,Monday,outdoors,dessograss,65,75,3,,28,4,1,2,1,-1,0,4,0,0,0,0
MasoDe00,Derrick Mason,24.7,WR,70,190,False,rav,pit,False,3-4,False,16,20,7,3,20:40,Monday,outdoors,dessograss,65,75,3,,28,4,1,2,0,0,0,14,8,137,0,0
McGaWi00,Willis McGahee,9.1,RB,72,228,False,rav,pit,False,3-4,False,16,20,7,3,20:40,Monday,outdoors,dessograss,65,75,3,,28,4,1,2,13,42,0,3,3,19,0,0
RiceRa00,Ray Rice,0,RB,69,195,True,rav,pit,False,3-4,False,16,20,7,3,20:40,Monday,outdoors,dessograss,65,75,3,,28,4,1,2,1,0,0,0,0,0,0,0
WilcDa01,Daniel Wilcox,7.4,TE,73,245,False,rav,pit,False,3-4,False,16,20,7,3,20:40,Monday,outdoors,dessograss,65,75,3,,28,4,1,2,0,0,0,1,1,4,1,0
EvanLe00,Lee Evans,18.8,WR,70,202,False,buf,ram,False,4-3,False,14,25,32,16,16:05,Sunday,dome,fieldturf,,,,,22,14,27,32,0,0,0,5,2,88,1,0
HardJa00,James Hardy,0,WR,78,220,True,buf,ram,False,4-3,False,14,25,32,16,16:05,Sunday,dome,fieldturf,,,,,22,14,27,32,0,0,0,4,0,0,0,0
JackFr02,Fred Jackson,14.5,RB,73,215,False,buf,ram,False,4-3,False,14,25,32,16,16:05,Sunday,dome,fieldturf,,,,,22,14,27,32,7,46,1,3,3,9,0,0
LyncMa00,Marshawn Lynch,12.1,RB,71,215,False,buf,ram,False,4-3,False,14,25,32,16,16:05,Sunday,dome,fieldturf,,,,,22,14,27,32,19,57,0,4,4,24,0,0
ReedJo01,Josh Reed,8.7,WR,70,208,False,buf,ram,False,4-3,False,14,25,32,16,16:05,Sunday,dome,fieldturf,,,,,22,14,27,32,0,0,0,5,4,47,0,0
RoyaRo00,Robert Royal,1.8,TE,76,257,False,buf,ram,False,4-3,False,14,25,32,16,16:05,Sunday,dome,fieldturf,,,,,22,14,27,32,0,0,0,3,1,8,0,0
SchoDe00,Derek Schouman,3.1,TE,74,247,False,buf,ram,False,4-3,False,14,25,32,16,16:05,Sunday,dome,fieldturf,,,,,22,14,27,32,0,0,0,1,1,21,0,0
