team,opp,opp_pts,opp_pass_yards,opp_rush_yards,def_align,after_bye,dline_pass,dline_rush,opp_oline_pass,opp_oline_rush,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,def_pass_rank,def_rush_rank,opp_pass_rank,opp_rush_rank,sacks,forced_fumbles,interceptions,tds,tackles,time_onfield
crd,nyj,56,284,89,4-3,False,24,17,19,2,13:02,Sunday,outdoors,fieldturf,69,97,,0,26,13,16,9,7.0,5,4,1,103,29.0
atl,car,24,294,107,4-3,False,10,19,9,7,13:04,Sunday,outdoors,grass,78,87,,0,17,25,19,3,2.0,0,0,0,88,32.25
rav,pit,23,168,69,3-4,False,15,1,29,26,20:40,Monday,outdoors,dessograss,65,75,3,,2,1,17,23,8.0,4,1,1,81,31.716666666666665
buf,ram,14,213,167,4-3,False,28,8,23,29,16:05,Sunday,dome,fieldturf,,,,,22,21,26,25,6.0,3,2,1,93,28.533333333333335
car,atl,9,150,118,4-3,False,5,24,5,9,13:04,Sunday,outdoors,grass,78,87,,0,8,24,14,2,2.0,0,0,0,88,27.75
chi,phi,20,237,103,4-3,False,27,2,6,13,20:23,Sunday,outdoors,grass,65,75,,0,9,5,6,22,7.0,1,3,0,94,31.9
cin,cle,20,127,134,4-3,False,31,12,7,22,13:02,Sunday,outdoors,fieldturf,74,56,,0,19,8,31,26,4.0,3,4,0,83,34.03333333333333
cle,cin,12,142,69,3-4,False,30,31,27,32,13:02,Sunday,outdoors,fieldturf,74,56,,0,16,23,30,29,4.0,3,4,0,83,25.966666666666665
dal,was,26,220,161,3-4,False,1,14,15,6,16:15,Sunday,outdoors,fieldturf,85,28,,0,11,14,23,8,2.0,1,1,0,69,38.15
den,kan,33,157,213,4-3,False,19,23,21,28,13:00,Sunday,outdoors,grass,74,65,,0,31,29,20,16,2.0,3,2,0,100,33.38333333333333
gnb,tam,30,149,178,4-3,False,21,28,18,21,13:02,Sunday,outdoors,grass,81,58,,0,7,27,11,15,3.0,1,6,2,88,36.833333333333336
htx,jax,30,236,139,4-3,False,23,30,24,12,13:02,Sunday,outdoors,grass,82,39,,0,25,30,15,18,1.0,2,0,0,90,31.25
jax,htx,27,307,79,4-3,False,14,9,16,10,13:02,Sunday,outdoors,grass,82,39,,0,29,9,4,13,1.0,2,0,0,90,32.333333333333336
kan,den,19,352,94,4-3,False,32,26,4,1,13:00,Sunday,outdoors,grass,74,65,,0,28,26,3,12,2.0,3,2,0,100,26.616666666666667
sdg,rai,18,251,72,3-4,False,20,25,30,25,16:05,Sunday,outdoors,grass,78,64,,0,20,20,32,10,10.0,2,3,0,83,30.3
ram,buf,31,166,111,4-3,False,16,32,25,14,16:05,Sunday,dome,fieldturf,,,,,27,32,22,14,6.0,3,2,1,93,31.466666666666665
min,oti,30,199,76,4-3,False,2,4,3,20,13:03,Sunday,outdoors,grass,78,43,10,,5,4,27,7,4.0,4,1,0,96,31.05
nor,sfo,17,221,91,4-3,False,25,22,31,8,13:03,Sunday,dome,fieldturf,,,,,23,22,13,27,6.0,2,3,0,95,27.083333333333332
nyj,crd,35,426,42,3-4,False,12,10,8,30,13:02,Sunday,outdoors,fieldturf,69,97,,0,18,7,2,32,7.0,5,4,1,103,31.0
rai,sdg,28,154,141,4-3,False,6,27,17,15,16:05,Sunday,outdoors,grass,78,64,,0,13,28,7,20,10.0,2,3,0,83,29.7
phi,chi,24,178,78,4-3,False,4,5,11,24,20:23,Sunday,outdoors,grass,65,75,,0,3,3,21,24,7.0,1,3,0,94,28.1
pit,rav,20,140,103,3-4,False,3,7,20,16,20:40,Monday,outdoors,dessograss,65,75,3,,1,2,28,4,8.0,4,1,1,81,34.36666666666667
sfo,nor,31,363,104,3-4,False,26,11,2,5,13:03,Sunday,dome,fieldturf,,,,,21,16,1,28,6.0,2,3,0,95,32.916666666666664
tam,gnb,21,153,28,4-3,False,7,15,14,19,13:02,Sunday,outdoors,grass,81,58,,0,6,15,8,17,3.0,1,6,2,88,23.166666666666668
oti,min,17,253,80,4-3,False,9,6,28,17,13:03,Sunday,outdoors,grass,78,43,10,,4,6,25,5,4.0,4,1,0,96,28.95
was,dal,24,300,44,4-3,False,29,20,13,18,16:15,Sunday,outdoors,fieldturf,85,28,,0,14,10,9,21,2.0,1,1,0,69,21.85
