player_id,player,fant_pts,position,height,weight,rookie,team,opp,home,opp_def_align,after_bye,oline_rush,oline_pass,opp_dline_rush,opp_dline_pass,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,off_pass_rank,off_rush_rank,opp_def_pass_rank,opp_def_rush_rank,rush_att,rush_yards,rush_tds,completions,attempts,accuracy,interceptions,fumbles,pass_yards,pass_tds,sacked,qbr
WarnKu00,Kurt Warner,24.9,QB,74,220,False,crd,nyj,False,3-4,False,30,8,10,12,13:02,Sunday,outdoors,fieldturf,69,97,,0,2,32,18,7,0,0,0,40,57,70.17543859649122,3,4,472,2,5,84.8
RyanMa00,Matt Ryan,7.4,QB,76,217,True,atl,car,False,4-3,False,9,5,24,5,13:04,Sunday,outdoors,grass,78,87,,0,14,2,8,24,2,11,0,21,41,51.21951219512195,0,0,158,0,2,60.8
FlacJo00,Joe Flacco,10.6,QB,78,232,True,rav,pit,False,3-4,False,16,20,7,3,20:40,Monday,outdoors,dessograss,65,75,3,,28,4,1,2,2,-1,0,16,31,51.61290322580645,0,2,192,1,5,81.7
EdwaTr01,Trent Edwards,13.7,QB,76,231,False,buf,ram,False,4-3,False,14,25,32,16,16:05,Sunday,dome,fieldturf,,,,,22,14,27,32,5,8,0,15,25,60.0,1,0,197,1,4,81.6
DelhJa00,Jake Delhomme,19.8,QB,74,215,False,car,atl,True,4-3,False,7,9,19,10,13:04,Sunday,outdoors,grass,78,87,,0,19,3,17,25,0,0,0,20,29,68.96551724137932,0,0,294,2,0,124.8
OrtoKy00,Kyle Orton,17.0,QB,76,226,False,chi,phi,True,4-3,False,24,11,5,4,20:23,Sunday,outdoors,grass,65,75,,0,21,24,3,3,1,0,0,18,34,52.94117647058824,2,2,199,3,4,75.5
FitzRy00,Ryan Fitzpatrick,10.8,QB,74,221,False,cin,cle,True,3-4,False,32,27,31,30,13:02,Sunday,outdoors,fieldturf,74,56,,0,30,29,16,23,4,41,0,21,35,60.0,3,1,156,1,3,44.5
AndeDe00,Derek Anderson,9.1,QB,78,229,False,cle,cin,False,4-3,False,22,7,12,31,13:02,Sunday,outdoors,fieldturf,74,56,,0,31,26,19,8,4,11,0,15,24,62.5,1,1,138,1,1,74.7
RomoTo00,Tony Romo,26.7,QB,74,219,False,dal,was,True,4-3,False,18,13,20,29,16:15,Sunday,outdoors,fieldturf,85,28,,0,9,21,14,10,1,7,0,28,47,59.57446808510638,1,0,300,3,0,90.7
CutlJa00,Jay Cutler,19.5,QB,75,225,False,den,kan,False,4-3,False,1,4,26,32,13:00,Sunday,outdoors,grass,74,65,,0,3,12,28,26,2,6,0,29,49,59.183673469387756,2,1,361,1,1,71.9
RodgAa00,Aaron Rodgers,12.4,QB,74,223,False,gnb,tam,False,4-3,False,19,14,15,7,13:02,Sunday,outdoors,grass,81,58,,0,8,17,6,15,2,8,0,14,27,51.85185185185185,3,0,165,2,3,55.9
SchaMa00,Matt Schaub,29.2,QB,77,235,False,htx,jax,False,4-3,False,10,16,9,14,13:02,Sunday,outdoors,grass,82,39,,0,4,13,29,9,5,24,0,29,40,72.5,0,1,307,3,0,119.5
GarrDa00,David Garrard,23.5,QB,73,244,False,jax,htx,True,4-3,False,12,24,30,23,13:02,Sunday,outdoors,grass,82,39,,0,15,18,25,30,7,41,1,23,32,71.875,0,0,236,1,1,103.1
HuarDa00,Damon Huard,10.3,QB,75,215,False,kan,den,True,4-3,False,28,21,23,19,13:00,Sunday,outdoors,grass,74,65,,0,20,16,31,29,1,-1,0,21,28,75.0,0,0,160,1,1,100.3
RivePh00,Philip Rivers,11.9,QB,77,228,False,sdg,rai,False,4-3,False,15,17,27,6,16:05,Sunday,outdoors,grass,78,64,,0,7,20,13,28,3,12,0,14,25,56.00000000000001,2,1,180,1,4,58.7
GreeTr00,Trent Green,8.4,QB,75,217,False,ram,buf,True,4-3,False,29,23,8,28,16:05,Sunday,dome,fieldturf,,,,,26,25,22,21,0,0,0,17,32,53.125,1,0,236,0,2,64.1
FrerGu00,Gus Frerotte,9.1,QB,75,237,False,min,oti,False,4-3,False,17,28,6,9,13:03,Sunday,outdoors,grass,78,43,10,,25,5,4,6,1,0,0,25,43,58.139534883720934,1,1,266,0,2,66.6
JackTa00,Tarvaris Jackson,0.3,QB,74,226,False,min,oti,False,4-3,False,17,28,6,9,13:03,Sunday,outdoors,grass,78,43,10,,25,5,4,6,0,0,0,1,1,100.0,0,0,8,0,2,100.0
BreeDr00,Drew Brees,28.4,QB,72,209,False,nor,sfo,True,3-4,False,5,2,11,26,13:03,Sunday,dome,fieldturf,,,,,1,28,21,16,1,-1,0,23,35,65.71428571428571,1,0,363,3,0,116.7
FavrBr00,Brett Favre,34.6,QB,74,225,False,nyj,crd,True,4-3,False,2,19,17,24,13:02,Sunday,outdoors,fieldturf,69,97,,0,16,9,26,13,0,0,0,24,34,70.58823529411765,1,0,289,6,2,123.7
RussJa00,JaMarcus Russell,14.0,QB,78,265,False,rai,sdg,True,3-4,False,25,30,25,20,16:05,Sunday,outdoors,grass,78,64,,0,32,10,20,20,2,4,0,22,37,59.45945945945946,1,1,277,1,6,80.6
McNaDo00,Donovan McNabb,13.0,QB,74,240,False,phi,chi,False,4-3,False,13,6,2,27,20:23,Sunday,outdoors,grass,65,75,,0,6,22,9,5,2,-5,0,25,41,60.97560975609756,1,0,262,1,3,77.5
RoetBe00,Ben Roethlisberger,10.4,QB,77,240,False,pit,rav,True,3-4,False,26,29,1,15,20:40,Monday,outdoors,dessograss,65,75,3,,17,23,2,1,2,3,0,14,24,58.333333333333336,1,1,191,1,3,80.4
OSulJ.00,J.T. O'Sullivan,11.8,QB,74,220,False,sfo,nor,False,4-3,False,8,31,22,25,13:03,Sunday,dome,fieldturf,,,,,13,27,23,22,2,0,0,18,36,50.0,2,1,257,1,6,59.6
GrieBr00,Brian Griese,7.0,QB,75,215,False,tam,gnb,True,4-3,False,21,18,28,21,13:02,Sunday,outdoors,grass,81,58,,0,11,15,7,27,4,0,0,15,30,50.0,3,0,149,1,0,36.0
CollKe00,Kerry Collins,7.7,QB,77,248,False,oti,min,True,4-3,False,20,3,4,2,13:03,Sunday,outdoors,grass,78,43,10,,27,7,5,4,6,2,0,18,35,51.42857142857142,0,1,199,0,0,68.6
CampJa00,Jason Campbell,17.5,QB,77,223,False,was,dal,False,3-4,False,6,15,14,1,16:15,Sunday,outdoors,fieldturf,85,28,,0,23,8,11,14,4,3,0,20,31,64.51612903225806,0,0,231,2,2,108.4
