player_id,player,fant_pts,position,height,weight,rookie,team,opp,home,opp_def_align,after_bye,oline_rush,oline_pass,opp_dline_rush,opp_dline_pass,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,off_pass_rank,off_rush_rank,opp_def_pass_rank,opp_def_rush_rank,rush_att,rush_yards,rush_tds,completions,attempts,accuracy,interceptions,fumbles,pass_yards,pass_tds,sacked,qbr
WarnKu00,Kurt Warner,21.0,QB,74,220,False,crd,sea,False,4-3,False,30,8,18,18,16:06,Sunday,outdoors,fieldturf,52,85,,0,2,32,30,17,3,-3,0,32,44,72.72727272727273,1,1,395,1,2,98.2
RyanMa00,Matt Ryan,10.8,QB,76,217,True,atl,den,True,4-3,False,9,5,23,19,13:02,Sunday,dome,fieldturf,,,,,14,2,31,29,5,18,0,20,33,60.60606060606061,1,0,250,0,0,71.5
FlacJo00,Joe Flacco,14.3,QB,78,232,True,rav,nyg,False,4-3,False,16,20,3,8,13:02,Sunday,outdoors,fieldturf,49,46,19,,28,4,10,12,6,57,0,20,33,60.60606060606061,2,0,164,1,1,58.1
EdwaTr01,Trent Edwards,13.6,QB,76,231,False,buf,cle,True,3-4,False,14,25,31,30,20:40,Monday,outdoors,astroplay,30,66,,22,22,14,16,23,3,7,1,16,26,61.53846153846154,3,0,148,1,0,50.3
DelhJa00,Jake Delhomme,7.9,QB,74,215,False,car,det,True,4-3,False,7,9,29,11,13:03,Sunday,outdoors,grass,54,58,,0,19,3,32,31,2,-2,0,10,19,52.63157894736842,0,0,102,1,0,85.9
GrosRe00,Rex Grossman,1.0,QB,73,222,False,chi,gnb,False,4-3,False,24,11,28,21,13:02,Sunday,outdoors,grass,33,61,,23,21,24,7,27,0,0,0,4,7,57.14285714285714,0,0,26,0,0,65.2
OrtoKy00,Kyle Orton,4.8,QB,76,226,False,chi,gnb,False,4-3,False,24,11,28,21,13:02,Sunday,outdoors,grass,33,61,,23,21,24,7,27,1,0,0,13,26,50.0,0,1,133,0,1,65.1
FitzRy00,Ryan Fitzpatrick,15.3,QB,74,221,False,cin,phi,True,4-3,True,32,27,5,4,13:03,Sunday,outdoors,fieldturf,38,57,,29,30,29,3,3,5,9,0,29,44,65.9090909090909,0,0,261,1,8,89.3
QuinBr00,Brady Quinn,9.2,QB,76,232,False,cle,buf,False,4-3,False,22,7,8,28,20:40,Monday,outdoors,astroplay,30,66,,22,31,26,22,21,4,18,0,14,36,38.88888888888889,0,0,185,0,1,55.9
RomoTo00,Tony Romo,9.6,QB,74,219,False,dal,was,False,4-3,True,18,13,20,29,20:23,Sunday,outdoors,grass,44,46,,0,9,21,14,10,2,-3,0,19,27,70.37037037037037,2,0,198,1,0,72.8
CutlJa00,Jay Cutler,13.0,QB,75,225,False,den,atl,False,4-3,False,1,4,19,10,13:02,Sunday,dome,fieldturf,,,,,3,12,17,25,1,4,0,19,27,70.37037037037037,0,0,216,1,1,106.4
CulpDa00,Daunte Culpepper,17.1,QB,76,264,False,det,car,False,4-3,False,31,32,24,5,13:03,Sunday,outdoors,grass,54,58,,0,24,30,8,24,5,13,1,20,35,57.14285714285714,2,1,207,1,3,60.1
RodgAa00,Aaron Rodgers,16.2,QB,74,223,False,gnb,chi,True,4-3,False,19,14,2,27,13:02,Sunday,outdoors,grass,33,61,,23,8,17,9,5,1,1,0,23,30,76.66666666666667,1,0,227,2,0,105.8
RoseSa00,Sage Rosenfels,7.1,QB,76,222,False,htx,clt,False,4-3,False,10,16,21,22,13:02,Sunday,retractable roof (closed),fieldturf,,,,,4,13,12,18,2,4,0,13,18,72.22222222222221,1,0,192,0,2,83.6
MannPe00,Peyton Manning,23.9,QB,77,230,False,clt,htx,True,4-3,False,23,1,30,23,13:02,Sunday,retractable roof (closed),fieldturf,,,,,5,31,25,30,2,1,0,30,46,65.21739130434783,0,0,320,2,0,99.9
GarrDa00,David Garrard,5.5,QB,73,244,False,jax,oti,True,4-3,False,12,24,6,9,16:15,Sunday,outdoors,grass,60,39,,0,15,18,4,6,3,16,0,13,30,43.333333333333336,1,1,135,0,4,43.1
ThigTy00,Tyler Thigpen,20.9,QB,75,235,False,kan,nor,True,4-3,False,28,21,22,25,13:00,Sunday,outdoors,grass,53,45,,0,20,16,23,22,3,45,0,19,38,50.0,1,0,235,2,4,76.1
RivePh00,Philip Rivers,4.6,QB,77,228,False,sdg,pit,False,3-4,False,15,17,7,3,16:16,Sunday,outdoors,dessograss,35,80,,26,7,20,1,2,1,5,0,15,26,57.692307692307686,2,1,164,0,2,44.4
BulgMa00,Marc Bulger,13.8,QB,75,215,False,ram,sfo,False,3-4,False,29,23,11,26,16:05,Sunday,outdoors,grass,75,50,,0,26,25,21,16,2,5,0,34,53,64.15094339622641,2,1,295,1,3,69.3
PennCh01,Chad Pennington,7.7,QB,75,225,False,mia,rai,True,4-3,False,11,12,27,6,13:02,Sunday,outdoors,grass,67,39,,0,10,11,13,28,1,7,0,16,22,72.72727272727273,0,0,174,0,3,95.6
FrerGu00,Gus Frerotte,9.3,QB,75,237,False,min,tam,False,4-3,False,17,28,15,7,13:02,Sunday,outdoors,grass,62,43,10,,25,5,6,15,2,3,0,14,20,70.0,0,1,138,1,5,105.8
CassMa00,Matt Cassel,39.2,QB,77,230,False,nwe,nyj,True,3-4,False,3,26,10,12,20:15,Thursday,outdoors,fieldturf,44,99,6,,12,6,18,7,8,62,0,30,51,58.82352941176471,0,0,400,3,3,103.4
BreeDr00,Drew Brees,13.4,QB,72,209,False,nor,kan,False,4-3,False,5,2,26,32,13:00,Sunday,outdoors,grass,53,45,,0,1,28,28,26,3,-2,0,25,36,69.44444444444444,1,0,266,1,0,88.4
MannEl00,Eli Manning,8.8,QB,76,218,False,nyg,rav,True,3-4,False,4,10,1,15,13:02,Sunday,outdoors,fieldturf,49,46,19,,18,1,2,1,2,-3,0,13,23,56.52173913043478,1,0,153,1,1,73.3
FavrBr00,Brett Favre,18.4,QB,74,225,False,nyj,nwe,False,3-4,False,2,19,16,17,20:15,Thursday,outdoors,fieldturf,44,99,6,,16,9,24,11,3,1,0,26,33,78.78787878787878,0,0,258,2,3,119.4
RussJa00,JaMarcus Russell,6.2,QB,78,265,False,rai,mia,False,3-4,False,25,30,13,13,13:02,Sunday,outdoors,grass,67,39,,0,32,10,15,19,0,0,0,15,22,68.18181818181817,0,0,156,0,4,88.4
McNaDo00,Donovan McNabb,17.3,QB,74,240,False,phi,cin,False,4-3,False,13,6,12,31,13:03,Sunday,outdoors,fieldturf,38,57,,29,6,22,19,8,1,2,0,28,58,48.275862068965516,3,1,339,1,2,50.9
RoetBe00,Ben Roethlisberger,15.3,QB,77,240,False,pit,sdg,True,3-4,False,26,29,25,20,16:16,Sunday,outdoors,dessograss,35,80,,26,17,23,20,20,0,0,0,31,41,75.60975609756098,0,0,308,0,4,96.4
