game_id,team,opp,player_id,quarter,time,down,togo,location,score,detail,yards,touchdown
200811230sdg,sdg,clt,kaedinat01,4,1:35,4,2,29,20-20,Nate Kaeding 47 yard field goal good,47,False
200811230sdg,sdg,clt,RivePh00,2,5:05,1,10,39,9-3,"Philip Rivers pass complete deep middle to Vincent Jackson for 39 yards, touchdown",39,True
200811230sdg,sdg,clt,JackVi00,2,5:05,1,10,39,9-3,"Philip Rivers pass complete deep middle to Vincent Jackson for 39 yards, touchdown",39,True
200811230sdg,sdg,clt,kaedinat01,2,11:47,4,6,17,3-3,Nate Kaeding 35 yard field goal good,35,False
200811230sdg,sdg,clt,RivePh00,1,0:20,3,2,75,0-3,Philip Rivers pass complete deep left to Malcom Floyd for 31 yards (tackle by Melvin Bullitt),31,False
200811230sdg,sdg,clt,FloyMa00,1,0:20,3,2,75,0-3,Philip Rivers pass complete deep left to Malcom Floyd for 31 yards (tackle by Melvin Bullitt),31,False
200811230sdg,sdg,clt,BullMe99,1,0:20,3,2,75,0-3,Philip Rivers pass complete deep left to Malcom Floyd for 31 yards (tackle by Melvin Bullitt),31,False
200811230sdg,sdg,clt,vinatada01,3,15:00,,,30,10-10,"Adam Vinatieri kicks off 62 yards, returned by Darren Sproles for 26 yards (tackle by Darrell Reid)",26,False
200811230sdg,sdg,clt,SproDa00,3,15:00,,,30,10-10,"Adam Vinatieri kicks off 62 yards, returned by Darren Sproles for 26 yards (tackle by Darrell Reid)",26,False
200811230sdg,sdg,clt,ReidDa20,3,15:00,,,30,10-10,"Adam Vinatieri kicks off 62 yards, returned by Darren Sproles for 26 yards (tackle by Darrell Reid)",26,False
200811230sdg,sdg,clt,vinatada01,3,3:51,,,30,10-17,"Adam Vinatieri kicks off 69 yards, returned by Darren Sproles for 26 yards (tackle by Jamie Silva)",26,False
200811230sdg,sdg,clt,SproDa00,3,3:51,,,30,10-17,"Adam Vinatieri kicks off 69 yards, returned by Darren Sproles for 26 yards (tackle by Jamie Silva)",26,False
200811230sdg,sdg,clt,SilvJa99,3,3:51,,,30,10-17,"Adam Vinatieri kicks off 69 yards, returned by Darren Sproles for 26 yards (tackle by Jamie Silva)",26,False
200811230sdg,sdg,clt,RivePh00,2,8:46,3,7,64,3-3,Philip Rivers pass complete deep middle to Malcom Floyd for 23 yards (tackle by Keiwan Ratliff),23,False
200811230sdg,sdg,clt,FloyMa00,2,8:46,3,7,64,3-3,Philip Rivers pass complete deep middle to Malcom Floyd for 23 yards (tackle by Keiwan Ratliff),23,False
200811230sdg,sdg,clt,RatlKe20,2,8:46,3,7,64,3-3,Philip Rivers pass complete deep middle to Malcom Floyd for 23 yards (tackle by Keiwan Ratliff),23,False
200811230sdg,sdg,clt,SproDa00,3,13:43,1,10,33,10-10,Darren Sproles right tackle for 21 yards (tackle by Antoine Bethea),21,False
200811230sdg,sdg,clt,BethAn20,3,13:43,1,10,33,10-10,Darren Sproles right tackle for 21 yards (tackle by Antoine Bethea),21,False
200811230sdg,sdg,clt,TomlLa00,3,14:25,1,10,97,10-10,LaDainian Tomlinson up the middle for 20 yards (tackle by Antoine Bethea and Tim Jennings),20,False
200811230sdg,sdg,clt,BethAn20,3,14:25,1,10,97,10-10,LaDainian Tomlinson up the middle for 20 yards (tackle by Antoine Bethea and Tim Jennings),20,False
200811230sdg,sdg,clt,JennTi20,3,14:25,1,10,97,10-10,LaDainian Tomlinson up the middle for 20 yards (tackle by Antoine Bethea and Tim Jennings),20,False
200811230sdg,sdg,clt,vinatada01,2,0:38,,,30,10-10,"Adam Vinatieri kicks off 62 yards, returned by Darren Sproles for 19 yards (tackle by Jordan Senn)",19,False
200811230sdg,sdg,clt,SproDa00,2,0:38,,,30,10-10,"Adam Vinatieri kicks off 62 yards, returned by Darren Sproles for 19 yards (tackle by Jordan Senn)",19,False
200811230sdg,sdg,clt,SennJo00,2,0:38,,,30,10-10,"Adam Vinatieri kicks off 62 yards, returned by Darren Sproles for 19 yards (tackle by Jordan Senn)",19,False
200811230sdg,sdg,clt,RivePh00,4,9:30,1,10,45,10-20,Philip Rivers pass complete deep right to Vincent Jackson for 18 yards (tackle by Gary Brackett),18,False
200811230sdg,sdg,clt,JackVi00,4,9:30,1,10,45,10-20,Philip Rivers pass complete deep right to Vincent Jackson for 18 yards (tackle by Gary Brackett),18,False
200811230sdg,sdg,clt,BracGa20,4,9:30,1,10,45,10-20,Philip Rivers pass complete deep right to Vincent Jackson for 18 yards (tackle by Gary Brackett),18,False
