player_id,player,fant_pts,position,height,weight,rookie,team,opp,home,opp_def_align,after_bye,oline_rush,oline_pass,opp_dline_rush,opp_dline_pass,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,off_pass_rank,off_rush_rank,opp_def_pass_rank,opp_def_rush_rank,rush_att,rush_yards,rush_tds,completions,attempts,accuracy,interceptions,fumbles,pass_yards,pass_tds,sacked,qbr
FlacJo00,Joe Flacco,13.0,QB,78,232,True,rav,mia,False,3-4,False,16,20,13,13,13:02,Sunday,outdoors,grass,80,72,,0,28,4,15,19,3,2,0,17,23,73.91304347826086,0,1,232,1,2,120.2
EdwaTr01,Trent Edwards,15.0,QB,76,231,False,buf,sdg,True,3-4,True,14,25,25,20,13:02,Sunday,outdoors,astroplay,51,46,,0,22,14,20,20,4,6,0,25,30,83.33333333333334,0,0,261,1,0,114.0
DelhJa00,Jake Delhomme,16.6,QB,74,215,False,car,nor,True,4-3,False,7,9,22,25,13:04,Sunday,outdoors,grass,65,71,,0,19,3,23,22,1,8,0,14,22,63.63636363636363,0,0,195,2,1,122.3
OrtoKy00,Kyle Orton,18.6,QB,76,226,False,chi,min,True,4-3,False,24,11,4,2,13:02,Sunday,outdoors,grass,58,50,,0,21,24,5,4,1,-2,0,21,32,65.625,0,1,283,2,2,114.5
FitzRy00,Ryan Fitzpatrick,11.1,QB,74,221,False,cin,pit,True,3-4,False,32,27,7,3,13:04,Sunday,outdoors,fieldturf,56,40,,0,30,29,1,2,4,15,0,21,35,60.0,0,2,164,1,7,81.1
AndeDe00,Derek Anderson,11.3,QB,78,229,False,cle,was,False,4-3,False,22,7,20,29,16:16,Sunday,outdoors,grass,59,29,,0,31,26,14,10,3,4,0,14,37,37.83783783783784,0,1,136,1,1,57.9
JohnBr00,Brad Johnson,9.9,QB,77,226,False,dal,ram,False,4-3,False,18,13,32,16,13:00,Sunday,dome,fieldturf,,,,,9,21,27,32,1,0,0,17,34,50.0,3,1,234,1,3,45.5
CutlJa00,Jay Cutler,10.5,QB,75,225,False,den,nwe,False,3-4,False,1,4,16,17,20:40,Monday,outdoors,fieldturf,40,54,,0,3,12,24,11,3,18,0,17,26,65.38461538461539,2,0,168,1,2,64.3
OrloDa00,Dan Orlovsky,17.1,QB,77,230,False,det,htx,False,4-3,False,31,32,30,23,16:05,Sunday,retractable roof (open),grass,,,,,24,30,25,30,2,10,0,12,25,48.0,0,1,265,1,2,99.6
RodgAa00,Aaron Rodgers,12.2,QB,74,223,False,gnb,clt,True,4-3,False,19,14,21,22,16:15,Sunday,outdoors,grass,60,51,,0,8,17,12,18,3,8,0,21,28,75.0,0,0,186,1,0,104.2
