team,opp,opp_pts,opp_pass_yards,opp_rush_yards,def_align,after_bye,dline_pass,dline_rush,opp_oline_pass,opp_oline_rush,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,def_pass_rank,def_rush_rank,opp_pass_rank,opp_rush_rank,sacks,forced_fumbles,interceptions,tds,tackles,time_onfield
rav,mia,13,288,71,3-4,False,15,1,12,11,13:02,Sunday,outdoors,grass,80,72,,0,2,1,10,11,3.0,1,1,1,95,28.283333333333335
buf,sdg,14,191,72,4-3,True,28,8,17,15,13:02,Sunday,outdoors,astroplay,51,46,,0,22,21,7,20,1.0,1,1,0,86,24.516666666666666
car,nor,7,228,115,4-3,False,5,24,2,5,13:04,Sunday,outdoors,grass,65,71,,0,8,24,1,28,2.0,1,1,0,89,26.983333333333334
chi,min,41,284,155,4-3,False,27,2,28,17,13:02,Sunday,outdoors,grass,58,50,,0,9,5,25,5,4.0,2,4,2,98,35.11666666666667
cin,pit,38,250,125,4-3,False,31,12,29,26,13:04,Sunday,outdoors,fieldturf,56,40,,0,19,8,17,23,7.0,2,0,0,71,30.583333333333332
cle,was,14,158,193,3-4,False,30,31,15,6,16:16,Sunday,outdoors,grass,59,29,,0,16,23,23,8,2.0,2,0,0,86,28.866666666666667
dal,ram,34,135,190,3-4,False,1,14,23,29,13:00,Sunday,dome,fieldturf,,,,,11,14,26,25,8.0,1,3,0,91,32.61666666666667
den,nwe,41,147,257,4-3,False,19,23,26,3,20:40,Monday,outdoors,fieldturf,40,54,,0,31,29,12,6,9.5,3,2,0,95,33.95
det,htx,28,254,150,4-3,False,11,29,16,10,16:05,Sunday,retractable roof (open),grass,,,,,32,31,4,13,5.0,1,0,0,86,40.06666666666667
gnb,clt,14,229,73,4-3,False,21,28,1,23,16:15,Sunday,outdoors,grass,60,51,,0,7,27,5,31,0.0,3,2,2,90,26.233333333333334
htx,det,21,249,77,4-3,False,23,30,32,31,16:05,Sunday,retractable roof (open),grass,,,,,25,30,24,30,5.0,1,0,0,86,19.933333333333334
clt,gnb,34,186,116,4-3,False,22,21,14,19,16:15,Sunday,outdoors,grass,60,51,,0,12,18,8,17,0.0,3,2,2,90,33.766666666666666
kan,oti,34,123,332,4-3,True,32,26,3,20,13:00,Sunday,outdoors,grass,63,55,,0,28,26,27,7,3.0,0,0,0,85,30.833333333333332
sdg,buf,23,261,109,3-4,False,20,25,25,14,13:02,Sunday,outdoors,astroplay,51,46,,0,20,20,22,14,1.0,1,1,0,86,35.483333333333334
ram,dal,14,217,124,4-3,False,16,32,13,18,13:00,Sunday,dome,fieldturf,,,,,27,32,9,21,8.0,1,3,0,91,27.383333333333333
mia,rav,27,218,139,3-4,False,13,13,20,16,13:02,Sunday,outdoors,grass,80,72,,0,15,19,28,4,3.0,1,1,1,95,31.716666666666665
min,chi,48,274,53,4-3,False,2,4,11,24,13:02,Sunday,outdoors,grass,58,50,,0,5,4,21,24,4.0,2,4,2,98,24.883333333333333
nwe,den,7,169,106,3-4,False,17,16,4,1,20:40,Monday,outdoors,fieldturf,40,54,,0,24,11,3,12,9.5,3,2,0,95,26.05
nor,car,30,193,143,4-3,False,25,22,9,7,13:04,Sunday,outdoors,grass,65,71,,0,23,22,19,3,2.0,1,1,0,89,33.016666666666666
nyg,sfo,17,218,35,4-3,False,8,3,31,8,13:02,Sunday,outdoors,fieldturf,51,45,14,,10,12,13,27,6.0,5,2,0,82,25.5
nyj,rai,16,191,153,3-4,False,12,10,30,25,16:15,Sunday,outdoors,grass,59,66,,0,18,7,32,10,4.0,3,2,0,94,35.65
rai,nyj,13,176,242,4-3,False,6,27,19,2,16:15,Sunday,outdoors,grass,59,66,,0,13,28,16,9,4.0,3,2,0,94,36.85
pit,cin,10,128,84,3-4,True,3,7,27,32,13:04,Sunday,outdoors,fieldturf,56,40,,0,1,2,30,29,7.0,2,0,0,71,29.416666666666668
sfo,nyg,29,161,112,3-4,False,26,11,10,4,13:02,Sunday,outdoors,fieldturf,51,45,14,,21,16,18,1,6.0,5,2,0,82,34.5
sea,tam,20,305,97,4-3,False,18,18,18,21,20:23,Sunday,outdoors,grass,75,48,,0,30,17,11,15,1.0,3,1,0,89,41.68333333333333
tam,sea,10,73,103,4-3,False,7,15,22,27,20:23,Sunday,outdoors,grass,75,48,,0,6,15,29,19,1.0,3,1,0,89,18.316666666666666
oti,kan,10,214,58,4-3,True,9,6,21,28,13:00,Sunday,outdoors,grass,63,55,,0,4,6,20,16,3.0,0,0,0,85,29.166666666666668
was,cle,11,134,102,4-3,False,29,20,7,22,16:16,Sunday,outdoors,grass,59,29,,0,14,10,31,26,2.0,2,0,0,86,31.133333333333333
