player_id,player,fant_pts,position,height,weight,rookie,team,opp,home,opp_def_align,after_bye,oline_rush,oline_pass,opp_dline_rush,opp_dline_pass,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,off_pass_rank,off_rush_rank,opp_def_pass_rank,opp_def_rush_rank,rush_att,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles
ArriJ.00,J.J. Arrington,14.1,RB,69,214,False,crd,min,True,4-3,False,30,8,4,2,16:05,Sunday,retractable roof (open),grass,,,,,2,32,5,4,2,23,0,7,7,48,0,0
BoldAn00,Anquan Boldin,8.9,WR,73,218,False,crd,min,True,4-3,False,30,8,4,2,16:05,Sunday,retractable roof (open),grass,,,,,2,32,5,4,0,0,0,9,6,34,0,1
BreaSt00,Steve Breaston,8.6,WR,73,175,False,crd,min,True,4-3,False,30,8,4,2,16:05,Sunday,retractable roof (open),grass,,,,,2,32,5,4,0,0,0,8,4,46,0,0
FitzLa00,Larry Fitzgerald,10.2,WR,75,225,False,crd,min,True,4-3,False,30,8,4,2,16:05,Sunday,retractable roof (open),grass,,,,,2,32,5,4,0,0,0,11,5,52,0,0
HighTi00,Tim Hightower,9.0,RB,72,226,True,crd,min,True,4-3,False,30,8,4,2,16:05,Sunday,retractable roof (open),grass,,,,,2,32,5,4,5,20,0,6,5,20,0,0
PatrBe00,Ben Patrick,3.6,TE,75,252,False,crd,min,True,4-3,False,30,8,4,2,16:05,Sunday,retractable roof (open),grass,,,,,2,32,5,4,0,0,0,2,2,16,0,0
UrbaJe00,Jerheme Urban,17.2,WR,75,212,False,crd,min,True,4-3,False,30,8,4,2,16:05,Sunday,retractable roof (open),grass,,,,,2,32,5,4,0,0,0,3,3,82,1,0
JenkMi00,Michael Jenkins,8.5,WR,76,217,False,atl,tam,True,4-3,False,9,5,15,7,13:03,Sunday,dome,fieldturf,,,,,14,2,6,15,0,0,0,4,3,55,0,0
PeelJu00,Justin Peelle,1.5,TE,76,255,False,atl,tam,True,4-3,False,9,5,15,7,13:03,Sunday,dome,fieldturf,,,,,14,2,6,15,0,0,0,2,1,5,0,0
RadeJa00,Jason Rader,3.1,TE,76,274,False,atl,tam,True,4-3,False,9,5,15,7,13:03,Sunday,dome,fieldturf,,,,,14,2,6,15,0,0,0,1,1,26,0,1
TurnMi00,Michael Turner,29.2,RB,70,237,False,atl,tam,True,4-3,False,9,5,15,7,13:03,Sunday,dome,fieldturf,,,,,14,2,6,15,32,152,1,2,2,30,0,0
WhitRo00,Roddy White,10.1,WR,73,201,False,atl,tam,True,4-3,False,9,5,15,7,13:03,Sunday,dome,fieldturf,,,,,14,2,6,15,0,0,0,7,4,61,0,0
ClayMa01,Mark Clayton,6.8,WR,70,193,False,rav,pit,True,3-4,False,16,20,7,3,16:15,Sunday,outdoors,sportturf,45,53,14,,28,4,1,2,0,0,0,5,3,38,0,0
HeapTo00,Todd Heap,3.4,TE,77,252,False,rav,pit,True,3-4,False,16,20,7,3,16:15,Sunday,outdoors,sportturf,45,53,14,,28,4,1,2,0,0,0,4,1,24,0,0
MasoDe00,Derrick Mason,5.3,WR,70,190,False,rav,pit,True,3-4,False,16,20,7,3,16:15,Sunday,outdoors,sportturf,45,53,14,,28,4,1,2,0,0,0,8,3,23,0,0
McGaWi00,Willis McGahee,5.3,RB,72,228,False,rav,pit,True,3-4,False,16,20,7,3,16:15,Sunday,outdoors,sportturf,45,53,14,,28,4,1,2,6,18,0,6,2,15,0,0
EvanLe00,Lee Evans,6.2,WR,70,202,False,buf,nyj,False,3-4,False,14,25,10,12,13:02,Sunday,outdoors,fieldturf,40,47,,30,22,14,18,7,0,0,0,6,4,22,0,0
FineDe00,Derek Fine,4.3,TE,74,250,True,buf,nyj,False,3-4,False,14,25,10,12,13:02,Sunday,outdoors,fieldturf,40,47,,30,22,14,18,7,0,0,0,2,2,23,0,0
JackFr02,Fred Jackson,17.0,RB,73,215,False,buf,nyj,False,3-4,False,14,25,10,12,13:02,Sunday,outdoors,fieldturf,40,47,,30,22,14,18,7,7,31,1,6,6,24,0,1
JohnSt00,Steve Johnson,9.9,WR,74,210,True,buf,nyj,False,3-4,False,14,25,10,12,13:02,Sunday,outdoors,fieldturf,40,47,,30,22,14,18,7,1,6,0,2,2,13,1,0
LyncMa00,Marshawn Lynch,20.0,RB,71,215,False,buf,nyj,False,3-4,False,14,25,10,12,13:02,Sunday,outdoors,fieldturf,40,47,,30,22,14,18,7,21,127,0,6,3,13,0,0
ParrRo00,Roscoe Parrish,1.5,WR,70,168,False,buf,nyj,False,3-4,False,14,25,10,12,13:02,Sunday,outdoors,fieldturf,40,47,,30,22,14,18,7,0,0,0,2,1,5,0,0
ReedJo01,Josh Reed,8.3,WR,70,208,False,buf,nyj,False,3-4,False,14,25,10,12,13:02,Sunday,outdoors,fieldturf,40,47,,30,22,14,18,7,0,0,0,8,4,43,0,0
RoyaRo00,Robert Royal,1.5,TE,76,257,False,buf,nyj,False,3-4,False,14,25,10,12,13:02,Sunday,outdoors,fieldturf,40,47,,30,22,14,18,7,0,0,0,3,1,5,0,0
KingJe00,Jeff King,2.5,TE,77,250,False,car,den,True,4-3,False,7,9,23,19,16:15,Sunday,outdoors,grass,46,64,5,,19,3,31,29,0,0,0,2,1,15,0,0
MuhaMu00,Muhsin Muhammad,11.0,WR,74,217,False,car,den,True,4-3,False,7,9,23,19,16:15,Sunday,outdoors,grass,46,64,5,,19,3,31,29,0,0,0,8,4,70,0,0
SmitSt01,Steve Smith,35.4,WR,69,185,False,car,den,True,4-3,False,7,9,23,19,16:15,Sunday,outdoors,grass,46,64,5,,19,3,31,29,1,9,0,11,9,165,1,0
WillDe02,DeAngelo Williams,18.1,RB,68,210,False,car,den,True,4-3,False,7,9,23,19,16:15,Sunday,outdoors,grass,46,64,5,,19,3,31,29,12,88,1,4,3,3,0,0
ClarDe00,Desmond Clark,4.1,TE,75,255,False,chi,nor,True,4-3,False,24,11,22,25,20:14,Thursday,outdoors,grass,28,60,,18,21,24,23,22,0,0,0,8,3,11,0,0
DaviRa00,Rashied Davis,0,WR,70,180,False,chi,nor,True,4-3,False,24,11,22,25,20:14,Thursday,outdoors,grass,28,60,,18,21,24,23,22,0,0,0,1,0,0,0,0
FortMa00,Matt Forte,17.3,RB,73,221,True,chi,nor,True,4-3,False,24,11,22,25,20:14,Thursday,outdoors,grass,28,60,,18,21,24,23,22,11,34,1,6,5,29,0,0
HestDe99,Devin Hester,8.6,WR,70,185,False,chi,nor,True,4-3,False,24,11,22,25,20:14,Thursday,outdoors,grass,28,60,,18,21,24,23,22,0,0,0,6,4,46,0,0
LloyBr00,Brandon Lloyd,4.1,WR,72,192,False,chi,nor,True,4-3,False,24,11,22,25,20:14,Thursday,outdoors,grass,28,60,,18,21,24,23,22,0,0,0,4,2,21,0,0
OlseGr00,Greg Olsen,12.5,TE,78,254,False,chi,nor,True,4-3,False,24,11,22,25,20:14,Thursday,outdoors,grass,28,60,,18,21,24,23,22,0,0,0,10,8,45,0,0
BensCe00,Cedric Benson,19.1,RB,71,222,False,cin,was,True,4-3,False,32,27,20,29,13:03,Sunday,outdoors,fieldturf,49,40,15,,30,29,14,10,21,73,0,5,3,88,0,0
CaldAn00,Andre Caldwell,1.8,WR,73,207,True,cin,was,True,4-3,False,32,27,20,29,13:03,Sunday,outdoors,fieldturf,49,40,15,,30,29,14,10,1,4,0,1,1,4,0,0
HenrCh00,Chris Henry,15.4,WR,76,197,False,cin,was,True,4-3,False,32,27,20,29,13:03,Sunday,outdoors,fieldturf,49,40,15,,30,29,14,10,0,0,0,6,4,54,1,0
HousTJ00,T.J. Houshmandzadeh,4.9,WR,73,197,False,cin,was,True,4-3,False,32,27,20,29,13:03,Sunday,outdoors,fieldturf,49,40,15,,30,29,14,10,0,0,0,5,3,19,0,0
JohnCh01,Chad Johnson,6.3,WR,73,192,False,cin,was,True,4-3,False,32,27,20,29,13:03,Sunday,outdoors,fieldturf,49,40,15,,30,29,14,10,0,0,0,8,3,33,0,0
KellRe00,Reggie Kelly,1.3,TE,76,255,False,cin,was,True,4-3,False,32,27,20,29,13:03,Sunday,outdoors,fieldturf,49,40,15,,30,29,14,10,0,0,0,1,1,3,0,0
CribJo01,Josh Cribbs,2.5,WR,73,192,False,cle,phi,False,4-3,False,22,7,5,4,20:40,Monday,outdoors,grass,58,83,,0,31,26,3,3,5,25,0,0,0,0,0,0
DinkDa00,Darnell Dinkins,1.6,TE,75,255,False,cle,phi,False,4-3,False,22,7,5,4,20:40,Monday,outdoors,grass,58,83,,0,31,26,3,3,0,0,0,3,1,6,0,0
EdwaBr00,Braylon Edwards,18.2,WR,75,211,False,cle,phi,False,4-3,False,22,7,5,4,20:40,Monday,outdoors,grass,58,83,,0,31,26,3,3,0,0,0,5,5,102,0,0
LewiJa00,Jamal Lewis,7.6,RB,71,240,False,cle,phi,False,4-3,False,22,7,5,4,20:40,Monday,outdoors,grass,58,83,,0,31,26,3,3,14,32,0,3,3,14,0,0
