player_id,player,fant_pts,position,height,weight,rookie,team,opp,home,opp_def_align,after_bye,oline_rush,oline_pass,opp_dline_rush,opp_dline_pass,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,off_pass_rank,off_rush_rank,opp_def_pass_rank,opp_def_rush_rank,rush_att,rush_yards,rush_tds,completions,attempts,accuracy,interceptions,fumbles,pass_yards,pass_tds,sacked,qbr
WarnKu00,Kurt Warner,13.3,QB,74,220,False,crd,min,True,4-3,False,30,8,4,2,16:05,Sunday,retractable roof (open),grass,,,,,2,32,5,4,0,0,0,29,45,64.44444444444444,1,1,270,1,4,78.9
RyanMa00,Matt Ryan,7.1,QB,76,217,True,atl,tam,True,4-3,False,9,5,15,7,13:03,Sunday,dome,fieldturf,,,,,14,2,6,15,6,19,0,15,23,65.21739130434783,2,2,206,0,1,57.5
FlacJo00,Joe Flacco,2.6,QB,78,232,True,rav,pit,True,3-4,False,16,20,7,3,16:15,Sunday,outdoors,sportturf,45,53,14,,28,4,1,2,1,5,0,11,28,39.285714285714285,2,1,115,0,2,22.2
LosmJ.00,J.P. Losman,13.1,QB,75,220,False,buf,nyj,False,3-4,False,14,25,10,12,13:02,Sunday,outdoors,fieldturf,40,47,,30,22,14,18,7,2,17,1,24,39,61.53846153846154,3,3,148,1,3,45.7
DelhJa00,Jake Delhomme,12.9,QB,74,215,False,car,den,True,4-3,False,7,9,23,19,16:15,Sunday,outdoors,grass,46,64,5,,19,3,31,29,1,-2,0,17,26,65.38461538461539,1,0,253,1,0,93.9
OrtoKy00,Kyle Orton,11.0,QB,76,226,False,chi,nor,True,4-3,False,24,11,22,25,20:14,Thursday,outdoors,grass,28,60,,18,21,24,23,22,4,6,1,24,40,60.0,2,1,172,0,1,49.2
FitzRy00,Ryan Fitzpatrick,21.3,QB,74,221,False,cin,was,True,4-3,False,32,27,20,29,13:03,Sunday,outdoors,fieldturf,49,40,15,,30,29,14,10,11,29,1,16,29,55.172413793103445,0,0,209,1,2,89.6
DorsKe00,Ken Dorsey,3.7,QB,76,218,False,cle,phi,False,4-3,False,22,7,5,4,20:40,Monday,outdoors,grass,58,83,,0,31,26,3,3,1,0,0,11,28,39.285714285714285,2,1,156,0,2,28.3
RomoTo00,Tony Romo,17.5,QB,74,219,False,dal,nyg,True,4-3,False,18,13,3,8,20:24,Sunday,outdoors,fieldturf,71,57,,0,9,21,10,12,4,7,0,20,30,66.66666666666666,0,2,244,2,4,113.7
CutlJa00,Jay Cutler,10.8,QB,75,225,False,den,car,False,4-3,False,1,4,24,5,16:15,Sunday,outdoors,grass,46,64,5,,3,12,8,24,2,9,0,21,33,63.63636363636363,1,0,172,1,3,74.3
OrloDa00,Dan Orlovsky,15.3,QB,77,230,False,det,clt,False,4-3,False,31,32,21,22,13:02,Sunday,retractable roof (closed),fieldturf,,,,,24,30,12,18,0,0,0,23,34,67.64705882352942,0,0,233,1,0,96.8
RodgAa00,Aaron Rodgers,15.8,QB,74,223,False,gnb,jax,False,4-3,False,19,14,9,14,13:04,Sunday,outdoors,grass,67,60,,0,8,17,29,9,5,22,0,20,32,62.5,1,1,278,1,3,87.8
SchaMa00,Matt Schaub,15.6,QB,77,235,False,htx,oti,True,4-3,False,10,16,6,9,13:05,Sunday,retractable roof (open),grass,,,,,4,13,4,6,4,7,0,23,39,58.97435897435898,0,1,284,1,3,90.1
MannPe00,Peyton Manning,20.0,QB,77,230,False,clt,det,True,4-3,False,23,1,29,11,13:02,Sunday,retractable roof (closed),fieldturf,,,,,5,31,32,31,2,3,0,28,37,75.67567567567568,0,0,318,1,1,110.0
